parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason
L2,true,1,1,1,0,,,0,"current_complete_child_infeasibility"
L2.0,true,1,1,1,0,,,0,"current_complete_child_infeasibility"
L2.0.1,true,1,0,0,0,0,,0,"current_child_gain_not_strict"
