"instance","file","status","objective","lower_bound","upper_bound","gap","runtime_seconds","incumbent_source","incumbent_generation_method","incumbent_best_source","incumbent_best_objective","incumbent_candidates_tested","incumbent_candidates_verified","route_pool_incumbent_found","route_pool_incumbent_objective","verifier_passed","certified_original_problem","result_file","log_file"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_auto","gcap_frontier_not_closed","0.368581603155","0.188729194434","0.368581603155","0.487958181257","52.8419723","BPC-owned portfolio","auto","BPC-owned portfolio","0.368581603155","8","8","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_auto.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_auto.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_compact-cplex","gcap_frontier_not_closed","0.379947820208","0.28208411076","0.379947820208","0.25757144598","57.1812378","compact CPLEX seed","compact-cplex","compact CPLEX seed","0.379947820208","2","2","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_compact-cplex.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_compact-cplex.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_compact","gcap_frontier_not_closed","0.382683045935","0.195779915825","0.382683045935","0.488401908827","51.5039901","compact tailored seed","compact","compact tailored seed","0.382683045935","2","2","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_compact.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_compact.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_greedy","gcap_frontier_not_closed","0.393080018005","0.25782777596","0.393080018005","0.344083229495","65.5108202","BPC-owned greedy","greedy","BPC-owned greedy","0.393080018005","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_greedy.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_greedy.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_local","gcap_frontier_not_closed","0.369698924539","0.27797125991","0.369698924539","0.248114502209","49.427662","BPC-owned local","local","BPC-owned local","0.369698924539","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_local.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_local.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_pool","gcap_frontier_not_closed","0.369698924539","0.27797125991","0.369698924539","0.248114502209","49.3701617","BPC-owned pool","pool","BPC-owned pool","0.369698924539","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_pool.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_pool.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_portfolio","gcap_frontier_not_closed","0.368581603155","0.27760013279","0.368581603155","0.246842136411","57.3247611","BPC-owned portfolio","portfolio","BPC-owned portfolio","0.368581603155","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_portfolio.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_portfolio.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_pricing","gcap_frontier_not_closed","0.493696053863","0.24052969397","0.493696053863","0.512798022005","52.8227348","empty-route incumbent","pricing","BPC-owned pricing","0.493696053863","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_pricing.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_pricing.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_route-pool","gcap_frontier_not_closed","0.368581603155","0.27760351887","0.368581603155","0.246832949626","55.9343912","BPC-owned portfolio","portfolio","BPC-owned portfolio","0.368581603155","1","1","True","0.368581603155","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_route-pool.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_route-pool.log"
"regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_strong","gcap_frontier_not_closed","0.368581603155","0.27760013279","0.368581603155","0.246842136411","51.3999383","BPC-owned strong","strong","BPC-owned strong","0.368581603155","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m1_average_strong.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_strong.log"
"regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_auto","gcap_frontier_not_closed","0.745474506024","0.403808527679","0.745474506024","0.458320137824","45.4651815","BPC-owned portfolio","auto","BPC-owned portfolio","0.745474506024","8","8","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m2_average_auto.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_auto.log"
"regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_compact-cplex","gcap_frontier_not_closed","1.00822320985","0.34067499243","1.00822320985","0.662103600571","61.3978415","empty-route incumbent","compact-cplex","BPC-owned compact-cplex","1.00822320985","2","2","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m2_average_compact-cplex.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_compact-cplex.log"
"regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_compact","gcap_frontier_not_closed","1.00822320985","0.34067499243","1.00822320985","0.662103600571","61.1972715","empty-route incumbent","compact","BPC-owned compact","1.00822320985","2","2","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m2_average_compact.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_compact.log"
"regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_greedy","gcap_frontier_not_closed","0.789342396801","0.60256635929","0.789342396801","0.236622330522","50.7562026","BPC-owned greedy","greedy","BPC-owned greedy","0.789342396801","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m2_average_greedy.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_greedy.log"
"regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_local","gcap_frontier_not_closed","0.775126981732","0.58952146597","0.775126981732","0.239451754533","50.7012014","BPC-owned local","local","BPC-owned local","0.775126981732","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m2_average_local.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_local.log"
"regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_pool","gcap_frontier_not_closed","0.775126981732","0.59545865176","0.775126981732","0.231792124653","50.6805749","BPC-owned pool","pool","BPC-owned pool","0.775126981732","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m2_average_pool.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_pool.log"
"regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_portfolio","gcap_frontier_not_closed","0.745474506024","0.5806324139","0.745474506024","0.221123714885","49.0919809","BPC-owned portfolio","portfolio","BPC-owned portfolio","0.745474506024","1","1","False","0","True","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\incumbent_v12_m2_average_portfolio.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_portfolio.log"
