"instance","variant","route_pool_columns_exported_from_tree","route_pool_columns_exported_from_pricing","route_pool_columns_exported_from_warmstart","route_pool_columns_exported_from_integer_leaves","route_pool_columns_raw","route_pool_columns_after_dominance","route_pool_columns_dropped_by_cap","route_pool_incumbent_found","route_pool_incumbent_objective","route_pool_incumbent_verified","result_file"
"regen_candidate_V12_M1_average.txt","auto_incumbent_only","0","0","0","0","8","4","0","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_auto_incumbent_only.json"
"regen_candidate_V12_M1_average.txt","focused_intensification_only","1168","584","584","0","1169","584","0","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_focused_intensification_only.json"
"regen_candidate_V12_M1_average.txt","improved_full","0","0","0","0","8","4","0","True","0.368581603155","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full.json"
"regen_candidate_V12_M1_average.txt","improved_full_300s","3337","2169","1168","0","3345","593","0","True","0.367765009974","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full_300s.json"
"regen_candidate_V12_M1_average.txt","round5_baseline","1168","584","584","0","1169","584","0","True","0.368581603155","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_round5_baseline.json"
"regen_candidate_V12_M1_average.txt","route_pool_fixed_only","1168","584","584","0","1169","584","0","True","0.368581603155","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_route_pool_fixed_only.json"
"regen_candidate_V12_M1_average.txt","transfer_cap_flow_only","1168","584","584","0","1169","584","0","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_transfer_cap_flow_only.json"
"regen_candidate_V12_M2_average.txt","auto_incumbent_only","0","0","0","0","17","9","0","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_auto_incumbent_only.json"
"regen_candidate_V12_M2_average.txt","focused_intensification_only","2010","1005","1005","0","2012","1005","0","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_focused_intensification_only.json"
"regen_candidate_V12_M2_average.txt","improved_full","0","0","0","0","17","9","0","True","0.745474506024","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full.json"
"regen_candidate_V12_M2_average.txt","improved_full_300s","5724","3714","2010","0","5743","1028","0","True","0.719065249476","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full_300s.json"
"regen_candidate_V12_M2_average.txt","round5_baseline","4020","2010","2010","0","4024","1005","0","True","0.735318539854","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_round5_baseline.json"
"regen_candidate_V12_M2_average.txt","route_pool_fixed_only","4020","2010","2010","0","4024","1005","0","True","0.735318539854","True","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_route_pool_fixed_only.json"
"regen_candidate_V12_M2_average.txt","transfer_cap_flow_only","4020","2010","2010","0","4022","1005","0","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_transfer_cap_flow_only.json"
