"instance","variant","exit_code","result_file","log_file","progress_log"
"v12_m1_average","round5_baseline","0","results\optimization_update_round6\raw\ablation_v12_m1_average_round5_baseline.json","results\optimization_update_round6\logs\ablation_v12_m1_average_round5_baseline.log","results\optimization_update_round6\raw\progress_v12_m1_average_round5_baseline.csv"
"v12_m1_average","auto_incumbent_only","0","results\optimization_update_round6\raw\ablation_v12_m1_average_auto_incumbent_only.json","results\optimization_update_round6\logs\ablation_v12_m1_average_auto_incumbent_only.log","results\optimization_update_round6\raw\progress_v12_m1_average_auto_incumbent_only.csv"
"v12_m1_average","route_pool_fixed_only","0","results\optimization_update_round6\raw\ablation_v12_m1_average_route_pool_fixed_only.json","results\optimization_update_round6\logs\ablation_v12_m1_average_route_pool_fixed_only.log","results\optimization_update_round6\raw\progress_v12_m1_average_route_pool_fixed_only.csv"
"v12_m1_average","transfer_cap_flow_only","0","results\optimization_update_round6\raw\ablation_v12_m1_average_transfer_cap_flow_only.json","results\optimization_update_round6\logs\ablation_v12_m1_average_transfer_cap_flow_only.log","results\optimization_update_round6\raw\progress_v12_m1_average_transfer_cap_flow_only.csv"
"v12_m1_average","focused_intensification_only","0","results\optimization_update_round6\raw\ablation_v12_m1_average_focused_intensification_only.json","results\optimization_update_round6\logs\ablation_v12_m1_average_focused_intensification_only.log","results\optimization_update_round6\raw\progress_v12_m1_average_focused_intensification_only.csv"
"v12_m1_average","improved_full","0","results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full.json","results\optimization_update_round6\logs\ablation_v12_m1_average_improved_full.log","results\optimization_update_round6\raw\progress_v12_m1_average_improved_full.csv"
"v12_m1_average","improved_full_300s","0","results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full_300s.json","results\optimization_update_round6\logs\ablation_v12_m1_average_improved_full_300s.log","results\optimization_update_round6\raw\progress_v12_m1_average_improved_full_300s.csv"
"v12_m2_average","round5_baseline","0","results\optimization_update_round6\raw\ablation_v12_m2_average_round5_baseline.json","results\optimization_update_round6\logs\ablation_v12_m2_average_round5_baseline.log","results\optimization_update_round6\raw\progress_v12_m2_average_round5_baseline.csv"
"v12_m2_average","auto_incumbent_only","0","results\optimization_update_round6\raw\ablation_v12_m2_average_auto_incumbent_only.json","results\optimization_update_round6\logs\ablation_v12_m2_average_auto_incumbent_only.log","results\optimization_update_round6\raw\progress_v12_m2_average_auto_incumbent_only.csv"
"v12_m2_average","route_pool_fixed_only","0","results\optimization_update_round6\raw\ablation_v12_m2_average_route_pool_fixed_only.json","results\optimization_update_round6\logs\ablation_v12_m2_average_route_pool_fixed_only.log","results\optimization_update_round6\raw\progress_v12_m2_average_route_pool_fixed_only.csv"
"v12_m2_average","transfer_cap_flow_only","0","results\optimization_update_round6\raw\ablation_v12_m2_average_transfer_cap_flow_only.json","results\optimization_update_round6\logs\ablation_v12_m2_average_transfer_cap_flow_only.log","results\optimization_update_round6\raw\progress_v12_m2_average_transfer_cap_flow_only.csv"
"v12_m2_average","focused_intensification_only","0","results\optimization_update_round6\raw\ablation_v12_m2_average_focused_intensification_only.json","results\optimization_update_round6\logs\ablation_v12_m2_average_focused_intensification_only.log","results\optimization_update_round6\raw\progress_v12_m2_average_focused_intensification_only.csv"
"v12_m2_average","improved_full","0","results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full.json","results\optimization_update_round6\logs\ablation_v12_m2_average_improved_full.log","results\optimization_update_round6\raw\progress_v12_m2_average_improved_full.csv"
"v12_m2_average","improved_full_300s","0","results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full_300s.json","results\optimization_update_round6\logs\ablation_v12_m2_average_improved_full_300s.log","results\optimization_update_round6\raw\progress_v12_m2_average_improved_full_300s.csv"
