"instance","variant","focused_intensification_passes","focused_intensification_intervals","focused_intensification_relax_calls","focused_intensification_tree_calls","focused_intensification_lb_before","focused_intensification_lb_after","focused_intensification_lb_improvements","focused_intensification_time_seconds","focused_intensification_stop_reason","result_file"
"regen_candidate_V12_M1_average.txt","auto_incumbent_only","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_auto_incumbent_only.json"
"regen_candidate_V12_M1_average.txt","focused_intensification_only","0","0","0","0","","","0","1.3E-06","time_limit","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_focused_intensification_only.json"
"regen_candidate_V12_M1_average.txt","improved_full","1","1","1","0","0.188729","0.281763","1","21.4731575","time_limit","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full.json"
"regen_candidate_V12_M1_average.txt","improved_full_300s","2","1","2","0","0.277404;0.281532","0.281532;0.281532","1","21.5927599","no_valid_lower_bound_progress","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full_300s.json"
"regen_candidate_V12_M1_average.txt","round5_baseline","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_round5_baseline.json"
"regen_candidate_V12_M1_average.txt","route_pool_fixed_only","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_route_pool_fixed_only.json"
"regen_candidate_V12_M1_average.txt","transfer_cap_flow_only","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_transfer_cap_flow_only.json"
"regen_candidate_V12_M2_average.txt","auto_incumbent_only","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_auto_incumbent_only.json"
"regen_candidate_V12_M2_average.txt","focused_intensification_only","1","1","1","0","0.582697","0.585988","1","22.0336712","time_limit","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_focused_intensification_only.json"
"regen_candidate_V12_M2_average.txt","improved_full","0","0","0","0","","","0","1.3E-06","time_limit","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full.json"
"regen_candidate_V12_M2_average.txt","improved_full_300s","2","1","2","0","0.583241;0.585988","0.585988;0.585988","1","20.6199294","no_valid_lower_bound_progress","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full_300s.json"
"regen_candidate_V12_M2_average.txt","round5_baseline","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_round5_baseline.json"
"regen_candidate_V12_M2_average.txt","route_pool_fixed_only","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_route_pool_fixed_only.json"
"regen_candidate_V12_M2_average.txt","transfer_cap_flow_only","0","0","0","0","","","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_transfer_cap_flow_only.json"
