"instance","variant","pickup_drop_pairs_total","pickup_drop_pairs_compatible","pickup_drop_pairs_incompatible","pickup_drop_pairs_capacity_limited","pickup_drop_transfer_cap_min","pickup_drop_transfer_cap_avg","pickup_drop_transfer_cap_max","pickup_drop_transfer_cap_variables","pickup_drop_transfer_cap_constraints","result_file"
"regen_candidate_V12_M1_average.txt","auto_incumbent_only","132","132","0","0","5","0","30","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_auto_incumbent_only.json"
"regen_candidate_V12_M1_average.txt","focused_intensification_only","132","132","0","0","5","0","30","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_focused_intensification_only.json"
"regen_candidate_V12_M1_average.txt","improved_full","264","264","0","90","5","14.8712121212","27","264","264","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full.json"
"regen_candidate_V12_M1_average.txt","improved_full_300s","396","396","0","135","5","14.8712121212","27","396","396","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full_300s.json"
"regen_candidate_V12_M1_average.txt","round5_baseline","132","132","0","0","5","0","30","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_round5_baseline.json"
"regen_candidate_V12_M1_average.txt","route_pool_fixed_only","132","132","0","0","5","0","30","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_route_pool_fixed_only.json"
"regen_candidate_V12_M1_average.txt","transfer_cap_flow_only","132","132","0","45","5","0","27","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_transfer_cap_flow_only.json"
"regen_candidate_V12_M2_average.txt","auto_incumbent_only","132","132","0","0","2","0","30","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_auto_incumbent_only.json"
"regen_candidate_V12_M2_average.txt","focused_intensification_only","264","264","0","0","2","16.1742424242","30","264","264","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_focused_intensification_only.json"
"regen_candidate_V12_M2_average.txt","improved_full","264","264","0","70","2","14.8409090909","27","264","264","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full.json"
"regen_candidate_V12_M2_average.txt","improved_full_300s","528","528","0","140","2","14.8409090909","27","528","528","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full_300s.json"
"regen_candidate_V12_M2_average.txt","round5_baseline","132","132","0","0","2","0","30","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_round5_baseline.json"
"regen_candidate_V12_M2_average.txt","route_pool_fixed_only","132","132","0","0","2","0","30","132","132","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_route_pool_fixed_only.json"
"regen_candidate_V12_M2_average.txt","transfer_cap_flow_only","264","264","0","70","2","14.8409090909","27","264","264","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_transfer_cap_flow_only.json"
