"instance","variant","status","upper_bound","lower_bound","gap","runtime_seconds","incumbent_best_source","route_pool_columns_raw","focused_intensification_passes","pickup_drop_pairs_capacity_limited","certified_original_problem","result_file"
"regen_candidate_V12_M1_average.txt","improved_full","gcap_frontier_not_closed","0.368581603155","0.281762943209","0.235548001319","68.2963628","BPC-owned portfolio","8","1","90","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full.json"
"regen_candidate_V12_M1_average.txt","improved_full_300s","gcap_frontier_not_closed","0.367765009974","0.281531929781","0.23447875098","304.416756","compact tailored seed","3345","2","135","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_improved_full_300s.json"
"regen_candidate_V12_M1_average.txt","round5_baseline","gcap_frontier_not_closed","0.368581603155","0.27808324973","0.2455313902","66.5014782","BPC-owned portfolio","1169","0","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m1_average_round5_baseline.json"
"regen_candidate_V12_M2_average.txt","improved_full","gcap_frontier_not_closed","0.745474506024","0.58317349756","0.217715035394","60.2755822","BPC-owned portfolio","17","0","70","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full.json"
"regen_candidate_V12_M2_average.txt","improved_full_300s","gcap_frontier_not_closed","0.719065249476","0.585987841514","0.185070003118","292.1498651","BPC-owned portfolio","5743","2","140","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_improved_full_300s.json"
"regen_candidate_V12_M2_average.txt","round5_baseline","gcap_frontier_not_closed","0.735318539854","0.58302010164","0.207118996679","69.0337158","BPC-owned portfolio","4024","0","0","False","E:\codes\ExactEBRP\results\optimization_update_round6\raw\ablation_v12_m2_average_round5_baseline.json"
