"method","exit_code","out","log"
"pricing","0","results\optimization_update_round6\raw\smoke_pricing.json","results\optimization_update_round6\logs\smoke_pricing.log"
"pricing-branch","0","results\optimization_update_round6\raw\smoke_pricing-branch.json","results\optimization_update_round6\logs\smoke_pricing-branch.log"
"cuts","0","results\optimization_update_round6\raw\smoke_cuts.json","results\optimization_update_round6\logs\smoke_cuts.log"
"branching","0","results\optimization_update_round6\raw\smoke_branching.json","results\optimization_update_round6\logs\smoke_branching.log"
"master","0","results\optimization_update_round6\raw\smoke_master.json","results\optimization_update_round6\logs\smoke_master.log"
"cg","0","results\optimization_update_round6\raw\smoke_cg.json","results\optimization_update_round6\logs\smoke_cg.log"
"gcap-cg","0","results\optimization_update_round6\raw\smoke_gcap-cg.json","results\optimization_update_round6\logs\smoke_gcap-cg.log"
"gcap-tree","0","results\optimization_update_round6\raw\smoke_gcap-tree.json","results\optimization_update_round6\logs\smoke_gcap-tree.log"
"gcap-frontier","0","results\optimization_update_round6\raw\smoke_gcap-frontier.json","results\optimization_update_round6\logs\smoke_gcap-frontier.log"
"dominance-test","0","results\optimization_update_round6\raw\smoke_dominance-test.json","results\optimization_update_round6\logs\smoke_dominance-test.log"
"support-pruning-test","0","results\optimization_update_round6\raw\smoke_support-pruning-test.json","results\optimization_update_round6\logs\smoke_support-pruning-test.log"
"route-mask-support-test","0","results\optimization_update_round6\raw\smoke_route-mask-support-test.json","results\optimization_update_round6\logs\smoke_route-mask-support-test.log"
"incumbent-import-test","0","results\optimization_update_round6\raw\smoke_incumbent-import-test.json","results\optimization_update_round6\logs\smoke_incumbent-import-test.log"
"route-pool-incumbent-test","0","results\optimization_update_round6\raw\smoke_route-pool-incumbent-test.json","results\optimization_update_round6\logs\smoke_route-pool-incumbent-test.log"
"pickup-drop-compat-flow-test","0","results\optimization_update_round6\raw\smoke_pickup-drop-compat-flow-test.json","results\optimization_update_round6\logs\smoke_pickup-drop-compat-flow-test.log"
"pickup-drop-transfer-cap-test","0","results\optimization_update_round6\raw\smoke_pickup-drop-transfer-cap-test.json","results\optimization_update_round6\logs\smoke_pickup-drop-transfer-cap-test.log"
