"instance","mode","exit_code","result_file","log_file"
"v12_m1_average","greedy","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_greedy.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_greedy.log"
"v12_m1_average","local","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_local.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_local.log"
"v12_m1_average","pool","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_pool.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_pool.log"
"v12_m1_average","pricing","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_pricing.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_pricing.log"
"v12_m1_average","portfolio","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_portfolio.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_portfolio.log"
"v12_m1_average","strong","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_strong.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_strong.log"
"v12_m1_average","compact","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_compact.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_compact.log"
"v12_m1_average","compact-cplex","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_compact-cplex.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_compact-cplex.log"
"v12_m1_average","auto","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_auto.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_auto.log"
"v12_m1_average","route-pool","0","results\optimization_update_round6\raw\incumbent_v12_m1_average_route-pool.json","results\optimization_update_round6\logs\incumbent_v12_m1_average_route-pool.log"
"v12_m2_average","greedy","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_greedy.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_greedy.log"
"v12_m2_average","local","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_local.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_local.log"
"v12_m2_average","pool","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_pool.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_pool.log"
"v12_m2_average","pricing","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_pricing.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_pricing.log"
"v12_m2_average","portfolio","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_portfolio.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_portfolio.log"
"v12_m2_average","strong","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_strong.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_strong.log"
"v12_m2_average","compact","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_compact.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_compact.log"
"v12_m2_average","compact-cplex","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_compact-cplex.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_compact-cplex.log"
"v12_m2_average","auto","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_auto.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_auto.log"
"v12_m2_average","route-pool","0","results\optimization_update_round6\raw\incumbent_v12_m2_average_route-pool.json","results\optimization_update_round6\logs\incumbent_v12_m2_average_route-pool.log"
