leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L2.0.1.1.0.1.0.0,LP,"OPTIMAL",0,241.147,0.0719998,0.235593,0,780,0,0.115858,60b2005e5d0d59727cb5bf73f248d79cf82a95f81b7fb1b7f62acf7cd47440a6,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.0_lp.gurobi.log"
L2.0.1.1.0.1.0.1,LP,"OPTIMAL",0,240.891,0.0739999,0.250918,0,820,0,0.115858,d7a8a2e86e8eeec850daac4a723d690a0b8550c0bee0ffe5f51f9e35ab4debf8,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.1_lp.gurobi.log"
L2.0.1.1.0.0.0.1.0,MIP,"INFEASIBLE",0,240.775,3.548,6.10588,1,8262,0,0.115858,ff8dc8b574e172f70941359d9c951b9642f412767ca16a1eeabddd9b63e6b3d7,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.0.1.0_terminal_mip.gurobi.log"
L2.0.1.1.0.0.0.1.1,MIP,"INFEASIBLE",0,237.21,5.995,8.67095,1,7991,0,0.115858,778a4fd99b5da768699600466e1356f1ee6f5ca2647585c2e50939b85137e004,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.0.1.1_terminal_mip.gurobi.log"
L2.0.1.1.0.0.1.0.0,MIP,"INFEASIBLE",0,231.198,7.94,13.3768,7,9741,0,0.115858,6f640f1f7634cc64a6e89f24fdd60069fb72d55034cd541c14c46f751d00ccac,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.1.0.0_terminal_mip.gurobi.log"
L2.0.1.1.0.0.1.1.0,LP,"OPTIMAL",0,223.099,0.079,0.257334,0,766,0,0.115858,ca76df17fae41f9a486ef73606c36ef1c936eaaa36f2f495839927c9961925f6,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.1.1.0_lp.gurobi.log"
L2.0.1.1.0.0.1.1.1,LP,"OPTIMAL",0,222.836,0.0739999,0.233405,0,726,0,0.115858,d65db6f271be29a0fdc3dc46b55facb6d4749e8675a40cee86626d4c090239e7,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.1.1.1_lp.gurobi.log"
L2.0.1.1.0.0.1.0.1,MIP,"INFEASIBLE",0,222.717,7.358,13.0571,3,9811,0,0.115858,488b37059d4aad0bf8b92007df2fcdccda04e0268a563dcc828b7f449bfaa76b,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.1.0.1_terminal_mip.gurobi.log"
L2.0.1.1.0.0.1.1.0,MIP,"INFEASIBLE",0,215.339,8.31,14.5298,9,10843,0,0.115858,ca76df17fae41f9a486ef73606c36ef1c936eaaa36f2f495839927c9961925f6,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.1.1.0_terminal_mip.gurobi.log"
L2.0.1.1.0.1.0.0.0,LP,"OPTIMAL",0,206.868,0.0770001,0.245631,0,760,0,0.115858,9ec6a7d08f42c8cd4ab469a24afe7d4c6f5835195eb7f706e81914b3b600739b,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.0.0_lp.gurobi.log"
L2.0.1.1.0.1.0.0.1,LP,"OPTIMAL",0,206.602,0.0839999,0.284655,0,898,0,0.115858,fe4dfba739470a468c6ef76c379588e21eb896e8bb148a70a2ddb36f7e146f69,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.0.1_lp.gurobi.log"
L2.0.1.1.0.0.1.1.1,MIP,"INFEASIBLE",0,206.477,7.351,12.9813,7,9849,0,0.115858,d65db6f271be29a0fdc3dc46b55facb6d4749e8675a40cee86626d4c090239e7,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0.1.1.1_terminal_mip.gurobi.log"
L2.0.1.1.0.1.1.0,LP,"OPTIMAL",0,198.971,0.075,0.243787,0,737,0,0.115858,b3f729b6b869819e07c4190f22ac539bd0d1e9d8a7c4729edffeae96c8333f95,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.0_lp.gurobi.log"
L2.0.1.1.0.1.1.1,LP,"OPTIMAL",0,198.71,0.0730002,0.238885,0,774,0,0.115858,6e11c1468dbc8899b437d7c36435e73ca3c328017665ef2cae56d0674d6e934e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.1_lp.gurobi.log"
L2.0.1.1.0.1.0.0.0,MIP,"INFEASIBLE",0,198.596,8.853,15.1173,31,14805,0,0.115858,9ec6a7d08f42c8cd4ab469a24afe7d4c6f5835195eb7f706e81914b3b600739b,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.0.0_terminal_mip.gurobi.log"
L2.0.1.1.0.1.0.1.0,LP,"OPTIMAL",0,189.585,0.0739999,0.243983,0,778,0,0.115858,af91f79bbe0ef856c5adcb853880a50dd4b5886a401d28b526080341a6c1913a,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.1.0_lp.gurobi.log"
L2.0.1.1.0.1.0.1.1,LP,"OPTIMAL",0,189.328,0.079,0.262821,0,843,0,0.115858,e77ae68d4f70bd00462c3a294fcb4a0fb2a7394a129f2ce9920eda59918e59bc,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.1.1_lp.gurobi.log"
L2.0.1.1.0.1.0.0.1,MIP,"INFEASIBLE",0,189.206,6.667,10.9992,7,6638,0,0.115858,fe4dfba739470a468c6ef76c379588e21eb896e8bb148a70a2ddb36f7e146f69,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.0.1_terminal_mip.gurobi.log"
L2.0.1.1.0.1.0.1.0,MIP,"INFEASIBLE",0,182.524,10.7,18.0111,3,13516,0,0.115858,af91f79bbe0ef856c5adcb853880a50dd4b5886a401d28b526080341a6c1913a,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.1.0_terminal_mip.gurobi.log"
L2.0.1.1.0.1.1.0.0,LP,"OPTIMAL",0,171.667,0.0749998,0.243218,0,712,0,0.115858,6ebb34fc9c414e81ddfc5d66e9c780f040b7353431b5be323fc18f83f24a660b,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.0.0_lp.gurobi.log"
L2.0.1.1.0.1.1.0.1,LP,"OPTIMAL",0,171.403,0.079,0.263977,0,795,0,0.115858,e0b5d969844501721b02c01135e1b5c3a7f5a60ea22f16e6954d8878c21e4dec,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.0.1_lp.gurobi.log"
L2.0.1.1.0.1.0.1.1,MIP,"INFEASIBLE",0,171.283,7.88,13.6668,15,9083,0,0.115858,e77ae68d4f70bd00462c3a294fcb4a0fb2a7394a129f2ce9920eda59918e59bc,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.0.1.1_terminal_mip.gurobi.log"
L2.0.1.1.0.1.1.0.0,MIP,"INFEASIBLE",0,163.388,10.042,16.4803,9,14232,0,0.115858,6ebb34fc9c414e81ddfc5d66e9c780f040b7353431b5be323fc18f83f24a660b,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.0.0_terminal_mip.gurobi.log"
L2.0.1.1.1.0,LP,"OPTIMAL",0,153.182,0.086,0.275279,0,996,0,0.115858,b3e7c8d3722869a7d5d30f9472cbaddf1c9997eaabaaa51a70c629fd411e003b,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.0_lp.gurobi.log"
L2.0.1.1.1.1,LP,"OPTIMAL",0,152.911,0.082,0.268386,0,957,0,0.115858,4929cd3a3b696b558ccd4c83e0db74db83640124ff5742ed3e37c6c46069a7aa,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.1_lp.gurobi.log"
L2.0.1.1.0.1.1.1.0,LP,"OPTIMAL",0,152.647,0.0810001,0.269183,0,879,0,0.115858,9b0fdc07caff9194380db2896956eb318ec6f084ba2663eff1644f7d6a1a3907,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.1.0_lp.gurobi.log"
L2.0.1.1.0.1.1.1.1,LP,"OPTIMAL",0,152.384,0.079,0.262427,0,775,0,0.115858,fa8adc3b59085e936ba0589b2e971b3ff381f4e80ae01780a54a752433c55006,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.1.1_lp.gurobi.log"
L2.0.1.1.0.1.1.0.1,MIP,"INFEASIBLE",0,152.26,7.865,13.5046,5,8695,0,0.115858,e0b5d969844501721b02c01135e1b5c3a7f5a60ea22f16e6954d8878c21e4dec,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.0.1_terminal_mip.gurobi.log"
L2.0.1.1.1.0.0,LP,"OPTIMAL",0,144.236,0.0769999,0.249987,0,820,0,0.115858,79413d7089fc6d9eb352da63bddae668d0a39b4c7a032d8ced0a5ef7d9f0cbfa,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.0.0_lp.gurobi.log"
L2.0.1.1.1.0.1,LP,"OPTIMAL",0,143.971,0.079,0.263329,0,801,0,0.115858,0dbe5d3113861de32b680b8d8aa3320077ce8b0ddf16bffbacb4ed2beb3af840,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.0.1_lp.gurobi.log"
L2.0.1.1.1.0.0.0,LP,"OPTIMAL",0,143.706,0.0739999,0.250574,0,754,0,0.115858,63a6a6648f863f93babdda13ae14093dfee589014f1dec34041a8f53de839338,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.0.0.0_lp.gurobi.log"
L2.0.1.1.1.0.0.1,LP,"OPTIMAL",0,143.444,0.0769999,0.261018,0,807,0,0.115858,8f40838db8a266ea061ae4d4fb25b39a528b702345da3b3abf08641c77d1fcbd,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.0.0.1_lp.gurobi.log"
L2.0.1.1.0.1.1.1.0,MIP,"INFEASIBLE",0,143.326,8.865,15.1651,13,13373,0,0.115858,9b0fdc07caff9194380db2896956eb318ec6f084ba2663eff1644f7d6a1a3907,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1.1.1.0_terminal_mip.gurobi.log"
L2.0.1.1.1.0.0.0.0,LP,"OPTIMAL",0,134.304,0.082,0.275293,0,795,0,0.115858,66805d491278a1615d3383bd9cb7de427433a60115d9a6987cc5c4cef4c98b8e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.0.0.0.0_lp.gurobi.log"
L2.0.1.1.1.0.0.0.1,LP,"OPTIMAL",0,134.029,0.0879998,0.266109,0,851,0,0.115858,e68af99cd2fb90e919023c23c9262209c7c76a84c5c85daa483c9cde71fbe6c2,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1.0.0.0.1_lp.gurobi.log"
