leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,15.6254,5.173,10.3821,23,33477,0,5.173,10.3821,23,33477,0,0
L1,0,10.3023,10.304,22.0963,39,65896,0,10.304,22.0963,39,65896,0,0
