serial_order,run_id,panel_ordinal,panel_row_id,instance_id,V,M,scenario,round35_pattern,arm,startup_variant,proof_source,anchor_source,split_normalization,process_cap_seconds,shutdown_margin_seconds,watchdog_seconds,rho,initial_interval_count,frozen_before_causal_results
1,r36_01_V12_M1__hh__1800s,1,r36_01_V12_M1,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
2,r36_01_V12_M1__ss__1800s,1,r36_01_V12_M1,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
3,r36_01_V12_M1__bw_p__1800s,1,r36_01_V12_M1,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
4,r36_01_V12_M1__bw_a__1800s,1,r36_01_V12_M1,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
5,r36_02_V12_M2__hh__1800s,2,r36_02_V12_M2,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
6,r36_02_V12_M2__ss__1800s,2,r36_02_V12_M2,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
7,r36_02_V12_M2__bw_p__1800s,2,r36_02_V12_M2,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
8,r36_02_V12_M2__bw_a__1800s,2,r36_02_V12_M2,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
9,r36_03_high_imbalance_seed3202__hh__1800s,3,r36_03_high_imbalance_seed3202,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
10,r36_03_high_imbalance_seed3202__ss__1800s,3,r36_03_high_imbalance_seed3202,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
11,r36_03_high_imbalance_seed3202__bw_p__1800s,3,r36_03_high_imbalance_seed3202,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
12,r36_03_high_imbalance_seed3202__bw_a__1800s,3,r36_03_high_imbalance_seed3202,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
13,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__hh__1800s,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,4_simple_ub_weaker_exact_phase_slower,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
14,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__ss__1800s,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,4_simple_ub_weaker_exact_phase_slower,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
15,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__bw_p__1800s,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,4_simple_ub_weaker_exact_phase_slower,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
16,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__bw_a__1800s,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,4_simple_ub_weaker_exact_phase_slower,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
17,r36_05_tight_T_seed5103__hh__1800s,5,r36_05_tight_T_seed5103,tight_T_seed5103,20,3,tight_T,4_simple_ub_weaker_exact_phase_slower,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
18,r36_05_tight_T_seed5103__ss__1800s,5,r36_05_tight_T_seed5103,tight_T_seed5103,20,3,tight_T,4_simple_ub_weaker_exact_phase_slower,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
19,r36_05_tight_T_seed5103__bw_p__1800s,5,r36_05_tight_T_seed5103,tight_T_seed5103,20,3,tight_T,4_simple_ub_weaker_exact_phase_slower,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
20,r36_05_tight_T_seed5103__bw_a__1800s,5,r36_05_tight_T_seed5103,tight_T_seed5103,20,3,tight_T,4_simple_ub_weaker_exact_phase_slower,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
21,r36_06_moderate_seed5301__hh__1800s,6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,3_simple_ub_weaker_exact_phase_faster,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
22,r36_06_moderate_seed5301__ss__1800s,6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,3_simple_ub_weaker_exact_phase_faster,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
23,r36_06_moderate_seed5301__bw_p__1800s,6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,3_simple_ub_weaker_exact_phase_faster,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
24,r36_06_moderate_seed5301__bw_a__1800s,6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,3_simple_ub_weaker_exact_phase_faster,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
25,r36_07_high_imbalance_seed5203__hh__1800s,7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,3_simple_ub_weaker_exact_phase_faster,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
26,r36_07_high_imbalance_seed5203__ss__1800s,7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,3_simple_ub_weaker_exact_phase_faster,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
