line,text,initial_from_verified_seed,guarded_by_independent_verifier,passed
998,double verified_ub = verified_seed.objective;,True,False,True
1425,verified_ub = outcome.incumbent_objective;,False,True,True
2175,verified_ub = outcome.incumbent_objective;,False,True,True
2395,verified_ub = outcome.incumbent_objective;,False,True,True
