panel_row_id,run_id,instance_id,V,M,scenario,round35_pattern,arm,U_proof_launch,U_anchor_launch,normalization_source,anchor_cell_index,anchor_lower,anchor_upper,active,active_lower,active_upper,truncated_by_proof_range,proof_range_lower,proof_range_upper,anchor_width,active_width,local_leaf_id,local_lp_status,local_lp_lower_bound,interval_row_families,interval_row_family_count,cutoff_derived_rows
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.35720058320841552,0.35720058320841552,proof,0,0,0.089300145802103881,1,0,0.089300145802103881,0,0,0.35720058320841552,0.08930014580210388,0.08930014580210388,L0,INFEASIBLE,0,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.35720058320841552,0.35720058320841552,proof,1,0.089300145802103881,0.17860029160420776,1,0.089300145802103881,0.17860029160420776,0,0,0.35720058320841552,0.08930014580210388,0.08930014580210388,L1,OPTIMAL,0.27726096936095629,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.35720058320841552,0.35720058320841552,proof,2,0.17860029160420776,0.26790043740631164,1,0.17860029160420776,0.26790043740631164,0,0,0.35720058320841552,0.08930014580210388,0.08930014580210388,L2,OPTIMAL,0.29424322429778327,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.35720058320841552,0.35720058320841552,proof,3,0.26790043740631164,0.35720058320841552,1,0.26790043740631164,0.35720058320841552,0,0,0.35720058320841552,0.08930014580210388,0.08930014580210388,L3,OPTIMAL,0.35403537724225576,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.39308001800510112,0.39308001800510112,proof,0,0,0.098270004501275279,1,0,0.098270004501275279,0,0,0.39308001800510112,0.09827000450127528,0.09827000450127528,L0,INFEASIBLE,0,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.39308001800510112,0.39308001800510112,proof,1,0.098270004501275279,0.19654000900255056,1,0.098270004501275279,0.19654000900255056,0,0,0.39308001800510112,0.09827000450127528,0.09827000450127528,L1,OPTIMAL,0.26178195424102507,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.39308001800510112,0.39308001800510112,proof,2,0.19654000900255056,0.29481001350382585,1,0.19654000900255056,0.29481001350382585,0,0,0.39308001800510112,0.0982700045012753,0.0982700045012753,L2,OPTIMAL,0.30568549443371984,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.39308001800510112,0.39308001800510112,proof,3,0.29481001350382585,0.39308001800510112,1,0.29481001350382585,0.39308001800510112,0,0,0.39308001800510112,0.09827000450127527,0.09827000450127527,L3,OPTIMAL,0.37469399304327572,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.35720058320841552,0.39308001800510112,proof,0,0,0.098270004501275279,1,0,0.098270004501275279,0,0,0.35720058320841552,0.09827000450127528,0.09827000450127528,L0,INFEASIBLE,0,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.35720058320841552,0.39308001800510112,proof,1,0.098270004501275279,0.19654000900255056,1,0.098270004501275279,0.19654000900255056,0,0,0.35720058320841552,0.09827000450127528,0.09827000450127528,L1,OPTIMAL,0.26178195424102507,direct_gini_cap_floor;interval_tight_mccormick;objective_estimator_cutoff;penalty_lb_closure;gini_spread;required_movement;low_gini_centering;variable_s_centering;sp_product_estimator,9,0
