comparison,grouping,group_value,rows,candidate_wins,comparator_wins,ties,non_tie_candidate_win_fraction,certificate_regressions,median_candidate_minus_comparator_gap,median_candidate_over_comparator_process_ratio,all_historical_rows_compatible
candidate_vs_C6-HGA-FULL,all,all,47,11,15,21,0.4230769230769231,0,0.0,1.000001571844461,True
candidate_vs_C6-HGA-FULL,validation_stage,independent_v50_3600,12,2,6,4,0.25,0,4.7672187093034113e-07,1.0000062870471398,True
candidate_vs_C6-HGA-FULL,validation_stage,qualification_1800,35,9,9,17,0.5,0,0.0,1.0000014143083578,True
candidate_vs_C6-HGA-FULL,scenario,high_imbalance,15,0,2,13,0.0,0,0.0,1.0119903677351236,True
candidate_vs_C6-HGA-FULL,scenario,moderate,15,5,8,2,0.38461538461538464,0,0.005181914204534593,1.000001571844461,True
candidate_vs_C6-HGA-FULL,scenario,tight_T,15,6,5,4,0.5454545454545454,0,0.0,0.9999981655831568,True
candidate_vs_C6-HGA-FULL,scenario,v12,2,0,0,2,nan,0,-3.948213205310734e-15,0.9786220439577715,True
candidate_vs_C6-HGA-FULL,V,12,2,0,0,2,nan,0,-3.948213205310734e-15,0.9786220439577715,True
candidate_vs_C6-HGA-FULL,V,20,21,7,4,10,0.6363636363636364,0,0.0,1.0000014143083578,True
candidate_vs_C6-HGA-FULL,V,50,24,4,11,9,0.26666666666666666,0,0.0,1.0000054163161818,True
candidate_vs_C6-HGA-FULL,M,1,1,0,0,1,nan,0,-2.797309884512809e-15,0.9510016895022688,True
candidate_vs_C6-HGA-FULL,M,2,10,1,2,7,0.3333333333333333,0,0.0,1.0000054163161818,True
candidate_vs_C6-HGA-FULL,M,3,27,8,8,11,0.5,0,0.0,1.0000043840164643,True
candidate_vs_C6-HGA-FULL,M,4,9,2,5,2,0.2857142857142857,0,9.534404540392782e-07,0.999999741419922,True
candidate_vs_C6-SIMPLE-START,all,all,47,14,14,19,0.5,1,-2.0250354235260032e-16,0.9999999360269713,True
candidate_vs_C6-SIMPLE-START,validation_stage,independent_v50_3600,12,5,4,3,0.5555555555555556,0,-1.0125177117630016e-16,0.9999997344224884,True
candidate_vs_C6-SIMPLE-START,validation_stage,qualification_1800,35,9,10,16,0.47368421052631576,1,-2.0250354235260032e-16,0.9999999360269713,True
candidate_vs_C6-SIMPLE-START,scenario,high_imbalance,15,4,2,9,0.6666666666666666,0,-2.0250354235260032e-16,1.0000003804614142,True
candidate_vs_C6-SIMPLE-START,scenario,moderate,15,6,6,3,0.5,0,-1.1102230246251565e-16,0.9999978444914961,True
candidate_vs_C6-SIMPLE-START,scenario,tight_T,15,4,6,5,0.4,1,0.0,1.0000159688644015,True
candidate_vs_C6-SIMPLE-START,scenario,v12,2,0,0,2,nan,0,-5.738045675562437e-15,1.3748330658505403,True
candidate_vs_C6-SIMPLE-START,V,12,2,0,0,2,nan,0,-5.738045675562437e-15,1.3748330658505403,True
candidate_vs_C6-SIMPLE-START,V,20,21,5,5,11,0.5,1,-4.1171667680067848e-16,1.0000002644752466,True
candidate_vs_C6-SIMPLE-START,V,50,24,9,9,6,0.5,0,0.0,0.9999984664375293,True
candidate_vs_C6-SIMPLE-START,M,1,1,0,0,1,nan,0,-7.304086920672336e-15,1.264664059179637,True
candidate_vs_C6-SIMPLE-START,M,2,10,0,2,8,0.0,0,0.0,1.056876897365163,True
candidate_vs_C6-SIMPLE-START,M,3,27,9,8,10,0.5294117647058824,1,-4.78665416173941e-16,0.9999990883835626,True
candidate_vs_C6-SIMPLE-START,M,4,9,5,4,0,0.5555555555555556,0,-0.0028736262600185802,0.9999978444914961,True
candidate_vs_P-GRB,all,all,47,45,0,2,1.0,0,-0.12903432596657816,0.9999655881584437,True
candidate_vs_P-GRB,validation_stage,independent_v50_3600,12,12,0,0,1.0,0,-0.11557477161701574,1.000000793591047,True
candidate_vs_P-GRB,validation_stage,qualification_1800,35,33,0,2,1.0,0,-0.16018418362644893,0.9999604631832057,True
candidate_vs_P-GRB,scenario,high_imbalance,15,15,0,0,1.0,0,-0.07765367316493574,0.31745392726988275,True
candidate_vs_P-GRB,scenario,moderate,15,15,0,0,1.0,0,-0.1264782744254516,0.9999807575137336,True
candidate_vs_P-GRB,scenario,tight_T,15,15,0,0,1.0,0,-0.2192311920025813,0.9999655881584437,True
candidate_vs_P-GRB,scenario,v12,2,0,0,2,nan,0,-6.216244187806243e-16,0.7456335232859448,True
candidate_vs_P-GRB,V,12,2,0,0,2,nan,0,-6.216244187806243e-16,0.7456335232859448,True
candidate_vs_P-GRB,V,20,21,21,0,0,1.0,0,-0.246423054784194,0.9999604631832057,True
candidate_vs_P-GRB,V,50,24,24,0,0,1.0,0,-0.1136847396368153,1.0000018862528268,True
candidate_vs_P-GRB,M,1,1,0,0,1,nan,0,-1.2432488375612486e-15,0.7703227523717092,True
candidate_vs_P-GRB,M,2,10,9,0,1,1.0,0,-0.09865158964124143,0.1497826869159009,True
candidate_vs_P-GRB,M,3,27,27,0,0,1.0,0,-0.12536391732089958,0.9999628357779271,True
candidate_vs_P-GRB,M,4,9,9,0,0,1.0,0,-0.19484814042787302,1.0000145212088107,True
