round35_pattern,panel_row_id,instance_id,selection_rule,absolute_geometry_proof_auc_delta,arm,run_id,source_path,source_bytes,source_sha256,compressed_path,compressed_bytes,compressed_sha256,compression,license_sensitive_scan_passed
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/result.json,86556,5e2e936cc9be1c66591d5f0abadc95d164437f01daae6e21b9c2adb7cc987334,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/result.json.gz,16242,b150037bd4bc950fc2c831975e23256861709c1e891797c9738b7548515fa3e6,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/completion_marker.json,8036,16a350e31be0d2d755dc337e140d95be8cec119c325917ffd1c9c7a92d954550,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/completion_marker.json.gz,2310,f822c42ae7f5651cae1533bcf1764f33062096f5c7416f3a47e10b00db1ed50e,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/artifact_manifest.csv,4780,89b95c4afe67b42999dbc6a31fb539dc0d94821dd833a0bd77aeec49bcacf74d,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/artifact_manifest.csv.gz,2367,5969e5cfaf929ee8c32a79f4d87f5ab8062a8fd0e2a3f1af425ebcd4b7ad5c37,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/heuristic_candidates.csv,382,f76e70a77e04e3504313a6292f077ddd64b0e1f08aecb440794b707bf3d99b95,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/heuristic_candidates.csv.gz,284,bdef8af7fbcb5a1c6ed05dc244d55b5ad13c34860ac4f13e2cfe63fbf3b69985,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/process_phases.csv,4005,07ead5ef2c134cb6e60a44ebd045c39700ee13f98a81c2fbb92f94bb7465e186,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/process_phases.csv.gz,1400,1a916236490aaf3134de98aac18946c674ac2f6004c27b6a557a9c82080ac4fd,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/external/initial_decomposition_ledger.csv,775,446aa7f1a6cca53c1be7f615c7e2b78f879e39cf304fde37ae7498caad551c1f,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/external/initial_decomposition_ledger.csv.gz,212,1bdbd9742daa15148f1a88abe91ab7ca4af5371651ac3d634d0e9a2276bc3213,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/external/global_bound_trace.csv,5746,09f9d4a157718e396b815b9d94ec22e0deec1a8519b20586c3eba560109e1f7f,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/external/global_bound_trace.csv.gz,1229,b4934c6398a185a119d1ecfa65ea229e092c41f9bf671524970a9b585d79327a,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/external/lp_status_ledger.csv,1582,6c0ce429f38759f5a6102bcd83f16c50a2cc4f8c13301fbb4c140bc1694d8680,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/external/lp_status_ledger.csv.gz,596,f1fc95bd6c50a69168ae3a0660c7cab8896c3a1f17cf24c6ffbdf9920f76b6df,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/external/native_target_ledger.csv,691,3aafde4f54927a9f5190ebd9ae02d1b981984c601c572b9724ac9a19ba6a4f76,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/external/native_target_ledger.csv.gz,326,9b23bd05028a42fdd9b470548f19c744a8aaac65b2ff77f80595c17457cfb24c,gzip_level9_mtime0,True
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465,HH,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,results/gf_incumbent_decomposition_causal_round36/runs/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s/external/paper_leaf_ledger.csv,2295,9e387732e7ac08ac56ca067acada4790d4cc557efaae6b6b91a53b062ce964a0,results/gf_incumbent_decomposition_causal_round36/representative_raw/r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459/hh/external/paper_leaf_ledger.csv.gz,592,25ef9c2d60a6099b7c5f727625cdbf9db3487247985a24c956f0e33663b7354b,gzip_level9_mtime0,True
