panel_row_id,run_id,instance_id,V,M,scenario,round35_pattern,arm,completion_checksum_valid,structural_exactness_gates,open_leaf_state_preserved_on_deadline,active_proof_range_coverage_valid,startup_verification_contract_valid,proof_anchor_contract_valid,reported_arm_normalization_contract_valid,runner_normal_exit,runner_no_emergency_timeout,result_json_verified_after_process_exit,runner_required_artifacts_complete,atomic_completion_marker_valid,algorithmic_solve_state_not_resumed,runner_lifecycle_valid,valid_time_limited_noncertificate,certificate_or_graceful_deadline_endpoint_valid,anchor_safety_valid,single_thread_command_valid,gurobi_seed_zero,K_equals_four,rho_frozen_source_contract,finite_bounds,bound_inversion,strict_certificate,strict_bound_equality_within_tolerance,false_certificate,final_verified_ub_no_worse_than_launch_proof,exactness_certificate_audit_passed
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_01_V12_M1,r36_01_V12_M1__bw_a__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_02_V12_M2,r36_02_V12_M2__hh__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,HH,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_02_V12_M2,r36_02_V12_M2__ss__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,SS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_02_V12_M2,r36_02_V12_M2__bw_p__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_02_V12_M2,r36_02_V12_M2__bw_a__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_03_high_imbalance_seed3202,r36_03_high_imbalance_seed3202__hh__1800s,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,HH,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
r36_03_high_imbalance_seed3202,r36_03_high_imbalance_seed3202__ss__1800s,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,SS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01,True,False,True,True,False,True,True
