panel_row_id,run_id,instance_id,V,M,scenario,round35_pattern,arm,U_proof_launch,U_anchor_launch,normalization_source,sequence,phase_index,leaf_id,target_kind,current_bound,target_bound,other_open_min_bound,verified_cutoff,status,native_status,native_bound,target_reached,exact_closure,requeued,solver_runtime,work,nodes,event_source
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.3572005832084155,0.3572005832084155,proof,0,1,L1,next_leaf,0.277261,0.294243,0.294243,0.357201,exact_closure,INFEASIBLE,1e+100,0,1,0,0.218,0.428986,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.3572005832084155,0.3572005832084155,proof,1,1,L2,next_leaf,0.294243,0.354035,0.354035,0.357201,target_reached_requeue,INTERRUPTED,0.35404,1,0,1,21.171,31.8651,2659,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.3572005832084155,0.3572005832084155,proof,2,1,L3,next_leaf,0.354035,0.35404,0.35404,0.357201,exact_closure,INFEASIBLE,1e+100,0,1,0,0.243,0.457654,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.3930800180051011,0.3930800180051011,proof,0,1,L1,next_leaf,0.261782,0.29481,0.29481,0.39308,target_reached_requeue,INTERRUPTED,0.307191,1,0,1,0.225,0.444973,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.3930800180051011,0.3930800180051011,proof,1,1,L2,next_leaf,0.305685,0.307191,0.307191,0.39308,target_reached_requeue,INTERRUPTED,0.318247,1,0,1,0.236,0.499491,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.3930800180051011,0.3930800180051011,proof,2,1,L1.1,next_leaf,0.307191,0.318247,0.318247,0.39308,target_reached_requeue,INTERRUPTED,0.322488,1,0,1,0.587,0.786136,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.3572005832084155,0.3930800180051011,proof,0,1,L1,next_leaf,0.261782,0.29481,0.29481,0.357201,target_reached_requeue,INTERRUPTED,0.307191,1,0,1,0.233,0.445048,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.3572005832084155,0.3930800180051011,proof,1,1,L2,next_leaf,0.305685,0.307191,0.307191,0.357201,target_reached_requeue,INTERRUPTED,0.318247,1,0,1,0.235,0.488246,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.3572005832084155,0.3930800180051011,proof,2,1,L1.1,next_leaf,0.307191,0.318247,0.318247,0.357201,target_reached_requeue,INTERRUPTED,0.322488,1,0,1,0.603,0.787578,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__bw_a__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,0.3572005832084155,0.3930800180051011,anchor,0,1,L1,next_leaf,0.261782,0.29481,0.29481,0.357201,target_reached_requeue,INTERRUPTED,0.307191,1,0,1,0.226,0.445048,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__bw_a__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,0.3572005832084155,0.3930800180051011,anchor,1,1,L2,next_leaf,0.305685,0.307191,0.307191,0.357201,target_reached_requeue,INTERRUPTED,0.318247,1,0,1,0.231,0.488246,1,c6_next_strict_frontier_bound_reached_requeue
r36_01_V12_M1,r36_01_V12_M1__bw_a__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,0.3572005832084155,0.3930800180051011,anchor,2,1,L1.1,next_leaf,0.307191,0.318247,0.318247,0.357201,target_reached_requeue,INTERRUPTED,0.322488,1,0,1,0.579,0.787578,1,c6_next_strict_frontier_bound_reached_requeue
