panel_ordinal,panel_row_id,round35_stage,instance_id,path,instance_sha256,V,M,scenario,process_cap_seconds,round35_pattern,selection_basis,round35_full_startup_ub,round35_simple_startup_ub,round35_full_common_ub_gap,round35_simple_common_ub_gap,frozen_before_round36_causal_results
1,r36_01_V12_M1,matrix1800,V12_M1,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,12,1,v12,1800,3_simple_ub_weaker_exact_phase_faster,mandatory_v12,0.3572005832084155,0.3930800180051011,2.797309884512809e-15,7.304086920672336e-15,True
2,r36_02_V12_M2,matrix1800,V12_M2,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,12,2,v12,1800,3_simple_ub_weaker_exact_phase_faster,mandatory_v12,0.7185040707549709,0.7893423968012562,5.099116526108658e-15,4.172004430452538e-15,True
3,r36_03_high_imbalance_seed3202,matrix1800,high_imbalance_seed3202,reference/hard_stress/V20_M3/high_imbalance_seed3202.txt,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,20,3,high_imbalance,1800,4_simple_ub_weaker_exact_phase_slower,all_weaker_simple_slower_rows,1.7493134520506337,1.7576833851330294,7.615945718524238e-16,3.64900268563079e-10,True
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,reference/qualification_round32/V20_M2/round32_multi_m_tight_T_V20_M2_seed89001413.txt,7d93488c5d6542e44945ce30eeab5315cc80e1cdb653198a4db399bb1d55b759,20,2,tight_T,1800,4_simple_ub_weaker_exact_phase_slower,all_weaker_simple_slower_rows,0.35363892908469974,0.42185791230189496,1.9280586165897106e-09,5.715457435335043e-15,True
5,r36_05_tight_T_seed5103,matrix1800,tight_T_seed5103,reference/heldout_round26/V20_M3/tight_T_seed5103.txt,96043ed4a57c0596cd1acf7d7028a3b8c9edcbd7610e6d7a5772d55f75c5b528,20,3,tight_T,1800,4_simple_ub_weaker_exact_phase_slower,all_weaker_simple_slower_rows,0.2849628509699851,0.47493373175620823,1.3666644572788014e-15,8.980937862117839e-15,True
6,r36_06_moderate_seed5301,matrix1800,moderate_seed5301,reference/heldout_round26/V20_M3/moderate_seed5301.txt,7d1b9e36dec1a5389d2d76af66c9476e642fac496530154bd4418e2082e5d0a5,20,3,moderate,1800,3_simple_ub_weaker_exact_phase_faster,largest_round35_gap_improvement_moderate,0.16885733659692667,0.24325805444040238,0.4906119438406776,0.19399678610256396,True
7,r36_07_high_imbalance_seed5203,matrix1800,high_imbalance_seed5203,reference/heldout_round26/V20_M3/high_imbalance_seed5203.txt,261a4e276df0a95d5ade89f6067b3451fa74650a70970cfa27248c4884f29761,20,3,high_imbalance,1800,3_simple_ub_weaker_exact_phase_faster,largest_round35_gap_improvement_high_imbalance,2.3524097575828193,2.3643426812899904,5.852197076200602e-15,1.1326833050710842e-15,True
8,r36_08_tight_T_seed5102,matrix1800,tight_T_seed5102,reference/heldout_round26/V20_M3/tight_T_seed5102.txt,7c6d264827a64fc1da476a350f4312c947f27c94ba1b7cf775347fdd407363d5,20,3,tight_T,1800,3_simple_ub_weaker_exact_phase_faster,largest_round35_gap_improvement_tight_T,0.3623546627845846,0.440522065322945,0.051030081769333435,6.7060963142732255e-09,True
9,r36_09_round31_sealed_moderate_V50_seed1112848618,v50_3600,round31_sealed_moderate_V50_seed1112848618,reference/heldout_round31/V50_M3/round31_sealed_moderate_V50_seed1112848618.txt,14645ca5ea5fd88739a4d6632fdd986b574baeb1fc2706a261e36cf8bf61ce9b,50,3,moderate,3600,5_simple_certification_or_final_gap_regression,largest_v50_3600_gap_regression_moderate,0.6874838397370203,0.7588125173791058,0.09485643214030799,0.1413095479256156,True
10,r36_10_high_imbalance_seed6202,v50_3600,high_imbalance_seed6202,reference/heldout_round26/V50_M3/high_imbalance_seed6202.txt,dc638980e691c1e5a0db8863194d2c961c9548923de05ea66613c11a7b8542ba,50,3,high_imbalance,3600,5_simple_certification_or_final_gap_regression,largest_v50_3600_gap_regression_high_imbalance,9.820664665302525,10.82672037080388,0.1580542179540433,0.19620944276182525,True
11,r36_11_tight_T_seed6102,v50_3600,tight_T_seed6102,reference/heldout_round26/V50_M3/tight_T_seed6102.txt,62ed13533967116ca5cb0f3d3e8c4b984900b8aa11306aa6bb20a1aa6584e16c,50,3,tight_T,3600,5_simple_certification_or_final_gap_regression,largest_v50_3600_gap_regression_tight_T,0.6855974831044359,0.8431367355053666,0.06949686269252923,0.0836700813148265,True
12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,v50_3600,round32_multi_m_moderate_V50_M4_seed721910669,reference/qualification_round32/V50_M4/round32_multi_m_moderate_V50_M4_seed721910669.txt,8eec8b89c4c4f3ca6a36c0777b1403912bcfa0509870afaccddda5c7ffcfae0e,50,4,moderate,3600,5_simple_certification_or_final_gap_regression,largest_v50_3600_m4_gap_regression,0.40669239072992647,0.6327934627353216,0.18401615665242374,0.21035049220899074,True
13,r36_13_moderate_seed4302,matrix1800,moderate_seed4302,reference/heldout_round22/V20_M3/moderate_seed4302.txt,ce1aaed9987b1d34c665df323f602ca36223eab6da3bffd73c0ead4f78d936a7,20,3,moderate,1800,2_simple_ub_weaker_exact_phase_similar,sole_weaker_simple_similar_row,0.04854285887126694,0.06607699113576627,4.653871638179039e-16,0.0,True
14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,reference/qualification_round32/V20_M2/round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt,4cda9b09c2d0253145e931d7c5a3c317376aca12b040446c3b2db5d8f0bbbb1f,20,2,high_imbalance,1800,1_simple_ub_not_weaker_simple_faster,smallest_v_m_exact_startup_ub_tie,4.356924112605589,4.356924112605589,0.0,0.0,True
