round35_pattern,panel_row_id,instance_id,selection_rule,absolute_geometry_proof_auc_delta
1_simple_ub_not_weaker_simple_faster,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.04626639511297465
2_simple_ub_weaker_exact_phase_similar,r36_13_moderate_seed4302,moderate_seed4302,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.012793941003905192
3_simple_ub_weaker_exact_phase_faster,r36_06_moderate_seed5301,moderate_seed5301,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.1757544511142652
4_simple_ub_weaker_exact_phase_slower,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.1268957783521781
5_simple_certification_or_final_gap_regression,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,largest_absolute_HH_vs_BW-P_common_window_proof_AUC_delta,0.06116958153554068
