line,source_path,source_line,context_sha256,forbidden_consumer_tokens,passed
616,src/PaperExternalGiniTree.cpp,const double decomposition_anchor_launch = round36_causal,a42c8a423825a2647a54ff983ab37a227bf502a3f1ce20a5fe0df2c2191561e9,,True
617,src/PaperExternalGiniTree.cpp,? verified_seed.round36_decomposition_anchor_launch,9e0f6b81ab242d3c60c964cf7ebab743ab5806d875071e1780f77616159dd0d2,,True
624,src/PaperExternalGiniTree.cpp,"decomposition_anchor_launch, gini_max_possible);",12a36ecdccd4f056fc9b60b970d188a7272bb53e96bf359e9204caa5ea39ffc9,,True
654,src/PaperExternalGiniTree.cpp,result.round36_decomposition_anchor_launch =,e9bde9e59f2e79b2ec1d640558b74e1da7307444c3ccc9adefb05b4a1207c61f,,True
655,src/PaperExternalGiniTree.cpp,decomposition_anchor_launch;,7d908dffb7a75b82c3ea26cdf850e1954f30d8a40f1d68903f28579d0c4c135f,,True
657,src/PaperExternalGiniTree.cpp,decomposition_anchor_launch + 1e-7 >= proof_incumbent_launch;,277ba23a580b73e0ceb2420a3b8114b7c05f2ed479298eaa6955c1721c264117,,True
738,src/PaperExternalGiniTree.cpp,std::isfinite(decomposition_anchor_launch) &&,aaf542bb8e1a5e1d1c99e438ccdeb82e9d935a9ea659e603b058d1dc7f80c0c4,,True
739,src/PaperExternalGiniTree.cpp,decomposition_anchor_launch + 1e-7 >= proof_incumbent_launch &&,0ac03c3336b7a7abb152b1aa8f9bda81d823c333ee8c693488afb439cb7ff07a,,True
964,src/PaperExternalGiniTree.cpp,"<< proof_incumbent_launch << ',' << decomposition_anchor_launch",31290bc0cf52bdbabe493e8008757bf2a65259986eb37884ab6f7eb432c54f4c,,True
1904,src/PaperExternalGiniTree.cpp,"decomposition_anchor_launch,",c4aca75e405ad5b56e367973fe040673e7d68ae48a8f1a7a6847df7b9dca57c0,,True
