panel_row_id,run_id,instance_id,V,M,scenario,round35_pattern,arm,U_proof_launch,U_anchor_launch,normalization_source,terminal_order,optimize_ledger_sequence,leaf_id,native_status,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,in_memory_model_reused
r36_01_V12_M1,r36_01_V12_M1__hh__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.3572005832084155,0.3572005832084155,proof,0,9,L2,OPTIMAL,0.848,1.5805,3206,80608,0,1
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.3930800180051011,0.3930800180051011,proof,0,11,L2,OPTIMAL,16.256,24.5913,2855,76168,0,1
r36_01_V12_M1,r36_01_V12_M1__ss__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.3930800180051011,0.3930800180051011,proof,1,16,L1.1.1,INFEASIBLE,2.585,3.62421,3,2266,0,1
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.3572005832084155,0.3930800180051011,proof,0,11,L2,OPTIMAL,14.94,26.7172,3392,90698,0,1
r36_01_V12_M1,r36_01_V12_M1__bw_p__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.3572005832084155,0.3930800180051011,proof,1,16,L1.1.1,INFEASIBLE,3.208,4.02926,5,2539,0,1
r36_01_V12_M1,r36_01_V12_M1__bw_a__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,0.3572005832084155,0.3930800180051011,anchor,0,11,L2,OPTIMAL,15.005,26.7172,3392,90698,0,1
r36_01_V12_M1,r36_01_V12_M1__bw_a__1800s,V12_M1,12,1,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,0.3572005832084155,0.3930800180051011,anchor,1,16,L1.1.1,INFEASIBLE,3.15,4.02926,5,2539,0,1
r36_02_V12_M2,r36_02_V12_M2__hh__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.7185040707549709,0.7185040707549709,proof,0,13,L2.1,OPTIMAL,95.38,182.718,1937,265321,0,1
r36_02_V12_M2,r36_02_V12_M2__hh__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,HH,0.7185040707549709,0.7185040707549709,proof,1,16,L2.0.1,INFEASIBLE,13.177,24.3743,167,40945,0,1
r36_02_V12_M2,r36_02_V12_M2__ss__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.7893423968012562,0.7893423968012562,proof,0,10,L2.0,OPTIMAL,36.603,72.2787,1673,251616,0,1
r36_02_V12_M2,r36_02_V12_M2__ss__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,SS,0.7893423968012562,0.7893423968012562,proof,1,13,L2.1,OPTIMAL,12.595,25.2597,758,67100,0,1
r36_02_V12_M2,r36_02_V12_M2__bw_p__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.7185040707549709,0.7893423968012562,proof,0,10,L2.0,OPTIMAL,9.323,23.663,1523,274496,0,1
r36_02_V12_M2,r36_02_V12_M2__bw_p__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-P,0.7185040707549709,0.7893423968012562,proof,1,17,L2.1.0.0,INFEASIBLE,10.681,19.1008,257,29461,0,1
r36_02_V12_M2,r36_02_V12_M2__bw_a__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,0.7185040707549709,0.7893423968012562,anchor,0,10,L2.0,OPTIMAL,9.36,23.663,1523,274496,0,1
r36_02_V12_M2,r36_02_V12_M2__bw_a__1800s,V12_M2,12,2,v12,3_simple_ub_weaker_exact_phase_faster,BW-A,0.7185040707549709,0.7893423968012562,anchor,1,17,L2.1.0.0,INFEASIBLE,10.672,19.1008,257,29461,0,1
r36_03_high_imbalance_seed3202,r36_03_high_imbalance_seed3202__hh__1800s,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,HH,1.7493134520506337,1.7493134520506337,proof,0,8,L2,OPTIMAL,212.933,401.455,3603,725025,0,1
r36_03_high_imbalance_seed3202,r36_03_high_imbalance_seed3202__ss__1800s,high_imbalance_seed3202,20,3,high_imbalance,4_simple_ub_weaker_exact_phase_slower,SS,1.7576833851330294,1.7576833851330294,proof,0,8,L2,OPTIMAL,250.676,475.093,4864,1.01088e+06,0,1
