parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L1,2.25897,L1.0,0,1,L1.1,2.28603,0,2.28603,1e-07,"child_lp_infeasible"
L2,1.98143,L2.0,1.98833,0,L2.1,2.07891,0,1.98833,1e-07,"strict_child_lp_bound_improvement"
L3,2.19766,L3.0,2.19766,0,L3.1,2.31641,0,2.19766,1e-07,"no_certified_one_level_lp_benefit"
L2.0,1.98833,L2.0.0,2.00152,0,L2.0.1,2.02248,0,2.00152,1e-07,"strict_child_lp_bound_improvement"
L2.0.0,2.00152,L2.0.0.0,2.12008,0,L2.0.0.1,2.01133,0,2.01133,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1,2.01133,L2.0.0.1.0,2.04043,0,L2.0.0.1.1,2.01632,0,2.01632,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1,2.01632,L2.0.0.1.1.0,2.02127,0,L2.0.0.1.1.1,2.01889,0,2.01889,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1,2.01889,L2.0.0.1.1.1.0,2.02004,0,L2.0.0.1.1.1.1,2.02069,0,2.02004,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.0,2.02004,L2.0.0.1.1.1.0.0,2.02163,0,L2.0.0.1.1.1.0.1,2.02063,0,2.02063,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.0.1,2.02063,L2.0.0.1.1.1.0.1.0,2.02137,0,L2.0.0.1.1.1.0.1.1,2.02093,0,2.02093,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.1,2.02069,L2.0.0.1.1.1.1.0,2.02076,0,L2.0.0.1.1.1.1.1,2.02181,0,2.02076,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.1.0,2.02076,L2.0.0.1.1.1.1.0.0,2.02084,0,L2.0.0.1.1.1.1.0.1,2.02131,0,2.02084,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0,2.02127,L2.0.0.1.1.0.0,2.0307,0,L2.0.0.1.1.0.1,2.02235,0,2.02235,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.0.0,2.02163,L2.0.0.1.1.1.0.0.0,2.02253,0,L2.0.0.1.1.1.0.0.1,2.0219,0,2.0219,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.1.1,2.02181,L2.0.0.1.1.1.1.1.0,2.02184,0,L2.0.0.1.1.1.1.1.1,2.02239,0,2.02184,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.1,2.02235,L2.0.0.1.1.0.1.0,2.02543,0,L2.0.0.1.1.0.1.1,2.02289,0,2.02289,1e-07,"strict_child_lp_bound_improvement"
L2.0.1,2.02248,L2.0.1.0,2.02249,0,L2.0.1.1,2.04922,0,2.02249,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0,2.02249,L2.0.1.0.0,2.02263,0,L2.0.1.0.1,2.03438,0,2.02263,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0.0,2.02263,L2.0.1.0.0.0,2.02279,0,L2.0.1.0.0.1,2.02782,0,2.02279,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0.0.0,2.02279,L2.0.1.0.0.0.0,2.02287,0,L2.0.1.0.0.0.1,2.02517,0,2.02287,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0.0.0.0,2.02287,L2.0.1.0.0.0.0.0,2.02291,0,L2.0.1.0.0.0.0.1,2.02405,0,2.02291,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.1.1,2.02289,L2.0.0.1.1.0.1.1.0,2.02397,0,L2.0.0.1.1.0.1.1.1,2.02316,0,2.02316,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0.0.0.0.0,2.02291,L2.0.1.0.0.0.0.0.0,2.02293,0,L2.0.1.0.0.0.0.0.1,2.0235,0,2.02293,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0.0.0.0.1,2.02405,L2.0.1.0.0.0.0.1.0,2.02407,0,L2.0.1.0.0.0.0.1.1,2.02464,0,2.02407,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0.0.0.1,2.02517,L2.0.1.0.0.0.1.0,2.02519,0,L2.0.1.0.0.0.1.1,2.02645,0,2.02519,1e-07,"strict_child_lp_bound_improvement"
L2.0.1.0.0.0.1.0,2.02519,L2.0.1.0.0.0.1.0.0,2.02521,0,L2.0.1.0.0.0.1.0.1,2.02581,0,2.02521,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.1.0,2.02543,L2.0.0.1.1.0.1.0.0,2.0283,0,L2.0.0.1.1.0.1.0.1,2.02568,0,2.02568,1e-07,"strict_child_lp_bound_improvement"
