leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,presolve_observed,root_relaxation_observed,model_sha256,row_signature,native_log
R,LP,"OPTIMAL",0,21.7139,0.272,0.737323,0,3573,0,0.0271944,1,0,8505a17810943c5d95babd00e779dee2e17c061f055f2f02e1887f5e7ca6fcff,8505a17810943c5d95babd00e779dee2e17c061f055f2f02e1887f5e7ca6fcff,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R_lp.gurobi.log"
R.0,LP,"OPTIMAL",0,21.2906,0.292,0.811272,0,3898,0,0.027225,1,0,f5103bff597e552c2dfbc4f22ccc8e8b77f734e03fc140134ab20f82c8634461,f5103bff597e552c2dfbc4f22ccc8e8b77f734e03fc140134ab20f82c8634461,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.0_lp.gurobi.log"
R.1,LP,"OPTIMAL",0,20.8526,0.192,0.516153,0,2981,0,0.027225,1,0,c7bb4332ef4134b3645411a76bbccbf85cf4c48df09ef29d54b21f06d822395e,c7bb4332ef4134b3645411a76bbccbf85cf4c48df09ef29d54b21f06d822395e,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.1_lp.gurobi.log"
R.0.0,LP,"INFEASIBLE",0,20.5056,0.0539999,0.12576,0,589,0,0.027225,1,0,e97bb5593c5c8d3b73d88829f9797ecbcca8e92d13ff7cdeb4d6260550712259,e97bb5593c5c8d3b73d88829f9797ecbcca8e92d13ff7cdeb4d6260550712259,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.0.0_lp.gurobi.log"
R.0.1,LP,"OPTIMAL",0,20.3007,0.261,0.731433,0,3588,0,0.0272689,1,0,3b46039f3b4baba20ae33022cfae5042e961dee006b0bcf6ea3c6d1b51d70f6f,3b46039f3b4baba20ae33022cfae5042e961dee006b0bcf6ea3c6d1b51d70f6f,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.0.1_lp.gurobi.log"
R.1.0,LP,"OPTIMAL",0,19.8756,0.241,0.664645,0,3788,0,0.0272689,1,0,d06a408f65bd5d597bc41c3d0eb049a8c92a48e12ab7a4e64cc6d77fff717fb7,d06a408f65bd5d597bc41c3d0eb049a8c92a48e12ab7a4e64cc6d77fff717fb7,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.1.0_lp.gurobi.log"
R.1.1,LP,"INFEASIBLE",0,19.4865,0.244,0.606978,0,3069,0,0.0272689,1,0,4de743aa44788746a75ee440c8d23e598afc76f5b13d5562b5ecb10e7d9d2a44,4de743aa44788746a75ee440c8d23e598afc76f5b13d5562b5ecb10e7d9d2a44,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.1.1_lp.gurobi.log"
R.1.0.1,LP,"OPTIMAL",0,19.0818,0.155,0.431679,0,2437,0,0.0273703,1,0,90dab83c203443df5c270b48dc952f50a18f19e396fae8cfbbb6b3b1ebf52112,90dab83c203443df5c270b48dc952f50a18f19e396fae8cfbbb6b3b1ebf52112,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.1.0.1_lp.gurobi.log"
R.1.0.0,LP,"OPTIMAL",0,18.7689,0.224,0.627473,0,3343,0,0.0273703,1,0,084ef48da13aff276049662c22c84ddefcb39839db7cdb7853b06063060a601f,084ef48da13aff276049662c22c84ddefcb39839db7cdb7853b06063060a601f,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.1.0.0_lp.gurobi.log"
R.1.0.0.1,LP,"OPTIMAL",0,18.3866,0.172,0.457105,0,2588,0,0.0293215,1,0,0b33ccb4e8e75667cfed12c391363257583dac8c4bdb96cec814909e4a93e086,0b33ccb4e8e75667cfed12c391363257583dac8c4bdb96cec814909e4a93e086,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\development\high_imbalance_seed3202__c3_replica__60s\external\native_logs\R.1.0.0.1_lp.gurobi.log"
