variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
all_improvements_300_v12_m1,300,12,0,aggregate,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,-0.0403237809751
all_improvements_300_v12_m1,300,12,0,aggregate,2,10,0,10,0,0,0,0,0,0,0,242,0,10,10,-0.0892702710376
all_improvements_300_v12_m1,300,12,0,aggregate,3,95,0,95,0,0,0,0,0,0,0,23514,0,95,95,-0.0939772499613
all_improvements_300_v12_m1,300,12,0,aggregate,4,853,0,853,0,0,0,0,0,0,0,351064,0,853,853,-0.0914573182819
all_improvements_300_v12_m1,300,12,0,aggregate,5,6817,0,6817,0,0,0,0,0,0,0,3347506,0,6817,6817,-0.0895475537815
all_improvements_300_v12_m1,300,12,0,aggregate,6,47717,0,47717,0,0,0,0,0,0,0,23942900,0,47717,47717,-0.0857331976976
all_improvements_300_v12_m1,300,12,0,aggregate,7,286299,0,286299,0,0,0,0,0,0,0,130981391,0,286267,286267,-0.0809690643139
all_improvements_300_v12_m1,300,12,0,aggregate,8,1431491,0,1431491,0,0,0,0,0,0,0,532802730,0,1426565,1426565,-0.0803113643217
all_improvements_300_v12_m1,300,12,0,aggregate,9,5724590,0,5724590,1371,0,0,0,0,0,0,1502700972,0,5230166,5230166,-0.0754361978046
all_improvements_300_v12_m1,300,12,0,aggregate,10,17082036,0,17082036,91732,0,0,0,0,0,0,2590323005,0,11566836,11566836,-0.0707025636662
all_improvements_300_v12_m1,300,12,0,aggregate,11,32545509,0,32545509,1618562,0,0,0,0,0,0,2281798801,0,6666893,6666893,-0.0632230141309
all_improvements_300_v12_m1,300,12,0,aggregate,12,25720931,0,25720931,6824578,0,0,0,0,0,0,739344056,0,1441351,1441351,-0.0541224918127
