variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
all_improvements_300_v12_m1,300,12,0,aggregate,1,1,0
all_improvements_300_v12_m1,300,12,0,aggregate,2,242,0
all_improvements_300_v12_m1,300,12,0,aggregate,3,23514,0
all_improvements_300_v12_m1,300,12,0,aggregate,4,351064,0
all_improvements_300_v12_m1,300,12,0,aggregate,5,3347506,0
all_improvements_300_v12_m1,300,12,0,aggregate,6,23942900,0
all_improvements_300_v12_m1,300,12,0,aggregate,7,130981391,0
all_improvements_300_v12_m1,300,12,0,aggregate,8,532802730,0
all_improvements_300_v12_m1,300,12,0,aggregate,9,1502700972,0
all_improvements_300_v12_m1,300,12,0,aggregate,10,2590323005,0
all_improvements_300_v12_m1,300,12,0,aggregate,11,2281798801,0
all_improvements_300_v12_m1,300,12,0,aggregate,12,739344056,0
