leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0,LP,"INFEASIBLE",0,260.307,0.052,0.12576,0,589,0,0.0257219,e97bb5593c5c8d3b73d88829f9797ecbcca8e92d13ff7cdeb4d6260550712259,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,260.117,0.27,0.731433,0,3588,0,0.0272689,3b46039f3b4baba20ae33022cfae5042e961dee006b0bcf6ea3c6d1b51d70f6f,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L1_lp.gurobi.log"
L1.0,LP,"INFEASIBLE",0,259.699,0.0509999,0.123384,0,595,0,0.0272689,da61436027ec79f9a56554bac21451c0b532ad87dde4d0c1df547ff6f7ad0a41,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,259.505,0.293,0.769645,0,4286,0,0.0272689,fdbadb6499a2afadac621f1567be0bd40bfff6cb767fd5391ef049675791ec58,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L1.1_lp.gurobi.log"
L2,LP,"OPTIMAL",0,259.061,0.24,0.664645,0,3788,0,0.0272689,d06a408f65bd5d597bc41c3d0eb049a8c92a48e12ab7a4e64cc6d77fff717fb7,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2_lp.gurobi.log"
L2.0,LP,"OPTIMAL",0,258.681,0.223,0.627473,0,3343,0,0.0272689,084ef48da13aff276049662c22c84ddefcb39839db7cdb7853b06063060a601f,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"OPTIMAL",0,258.312,0.162,0.431679,0,2437,0,0.0272689,90dab83c203443df5c270b48dc952f50a18f19e396fae8cfbbb6b3b1ebf52112,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.1_lp.gurobi.log"
L3,LP,"INFEASIBLE",0,258.013,0.249,0.606978,0,3069,0,0.0272689,4de743aa44788746a75ee440c8d23e598afc76f5b13d5562b5ecb10e7d9d2a44,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L3_lp.gurobi.log"
L2.0.0,LP,"OPTIMAL",0,257.625,0.268,0.746019,0,3752,0,0.0273703,b2df48ad5e03c6ffb31d4b6682827a5bec7078f1e0ce8864aad9f4adadaa8d7d,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0_lp.gurobi.log"
L2.0.1,LP,"OPTIMAL",0,257.215,0.173,0.457105,0,2588,0,0.0293215,0b33ccb4e8e75667cfed12c391363257583dac8c4bdb96cec814909e4a93e086,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.1_lp.gurobi.log"
L2.0.0.0,LP,"OPTIMAL",0,256.899,0.273,0.768841,0,3773,0,0.0293215,2913fa3a63f8451aecdef30c346846b080842a8211e14bfeddf4de4ca75cc526,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.0_lp.gurobi.log"
L2.0.0.1,LP,"OPTIMAL",0,256.484,0.218,0.597909,0,3158,0,0.0293215,29d06dcff178ab43b85e34e8ed4ea70c993cf58a93aa4cbeeec59a94cdd6c31f,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.1_lp.gurobi.log"
L2.0.0.0.0,LP,"OPTIMAL",0,256.126,0.218,0.618652,0,3097,0,0.0293215,d1b6d68fcd9c068dec97cb31f1fee9db47d24da2d644030549c3696f75f98e05,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.0.0_lp.gurobi.log"
L2.0.0.0.1,LP,"OPTIMAL",0,255.768,0.266,0.725248,0,3907,0,0.0293215,c46ce9c4ce4c39591562ca0291261ba76ffd924000aecbaac0bdfcf1ee0c7321,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.0.1_lp.gurobi.log"
L2.0.0.0.1.0,LP,"OPTIMAL",0,255.356,0.249,0.685527,0,3505,0,0.0293215,fbfed41c02aa5eb0df968d381e55cc55f5916dd5496c0110f987fd96abf30d96,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.0.1.0_lp.gurobi.log"
L2.0.0.0.1.1,LP,"OPTIMAL",0,254.962,0.249,0.698657,0,3543,0,0.0293215,76399dc494005e7b0cbf93d00fcc5608b0689fd57bf3cd7acf5712f152923b08,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.0.1.1_lp.gurobi.log"
L2.0.0.1.0,LP,"OPTIMAL",0,254.573,0.236,0.652595,0,3336,0,0.0293215,1461b8314f39000332435e683c32711e7a8389f1ad1f1c8aae50af1182693847,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.1.0_lp.gurobi.log"
L2.0.0.1.1,LP,"OPTIMAL",0,254.197,0.186,0.51531,0,2762,0,0.0293215,51c227ddbcb77d155a201450e3e62fecd32c4555a6722d356b3b5669719690a4,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.1.1_lp.gurobi.log"
L2.0.0.0.1.1.0,LP,"OPTIMAL",0,253.87,0.263,0.734468,0,3753,0,0.0293215,57d8aea1fa57e0e360e0dfaeace26f979d04f7699f20c20c63b08dea15b6f99d,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.0.1.1.0_lp.gurobi.log"
L2.0.0.0.1.1.1,LP,"OPTIMAL",0,253.465,0.239,0.66343,0,3376,0,0.0293215,675e1bb85f6609760b4b42e36a2eb2e91849d61308ed51fc1633e53633335804,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage3__high_imbalance_seed3202__c2_paper__300s\external\native_logs\L2.0.0.0.1.1.1_lp.gurobi.log"
