variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,1,1,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,2,22,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,3,187,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,4,189,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,5,2919,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,6,29440,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,7,222608,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,8,1197165,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,9,4723980,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,10,14138500,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,11,33513488,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,12,64082718,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,13,99597805,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,14,125624168,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,15,126938498,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,16,99539025,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,17,57059622,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,18,21473675,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,19,4669909,0
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,20,416161,0
