run_id,instance,decision_sequence,interval_id,parent_rows,parent_columns,parent_nonzeros,left_rows,left_columns,left_nonzeros,right_rows,right_columns,right_nonzeros,additional_models_built,additional_lp_queries,additional_mip_queries
"stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF","round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt",1,"L0",16430,1406,167542,16430,1406,167542,16434,1406,167714,0,0,0
"stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF","round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt",2,"L0",16430,1406,167542,16430,1406,167542,16434,1406,167714,0,0,0
