"instance","variant","available","selected_bound_source","notes"
"V12_M1","portfolio_relaxation","partial","see raw frontier_lower_bound_source","per-variant relaxation ledger not exported in this run"
"V12_M2","portfolio_relaxation","partial","see raw frontier_lower_bound_source","per-variant relaxation ledger not exported in this run"
