leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,presolve_observed,root_relaxation_observed,model_sha256,row_signature,native_log
R,LP,"OPTIMAL",0,250.803,0.265,0.75878,0,3459,0,0.0292005,1,0,0ff512eaa2335d864f6392e924fc05a4809773a7c7c53bf98e6072f27d5a6818,0ff512eaa2335d864f6392e924fc05a4809773a7c7c53bf98e6072f27d5a6818,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R_lp.gurobi.log"
R.0,LP,"OPTIMAL",0,250.374,0.309,0.88016,0,3980,0,0.0292005,1,0,5cc168c6e5175a1dde4da2718276529be08f2c183028c4fd553400290c604b33,5cc168c6e5175a1dde4da2718276529be08f2c183028c4fd553400290c604b33,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0_lp.gurobi.log"
R.1,LP,"OPTIMAL",0,249.9,0.235,0.671992,0,3586,0,0.0292291,1,0,d99ea68f41745f184bab00dffc45e5f1c1e2f689f52e9da941919e8371cb4262,d99ea68f41745f184bab00dffc45e5f1c1e2f689f52e9da941919e8371cb4262,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.1_lp.gurobi.log"
R.0.0,LP,"INFEASIBLE",0,249.501,0.098,0.234419,0,1258,0,0.0292291,1,0,b85008dbe97f3cb34fd33f487f32e49fd543b5c0b44ab287c30244ae0c42ee9b,b85008dbe97f3cb34fd33f487f32e49fd543b5c0b44ab287c30244ae0c42ee9b,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0.0_lp.gurobi.log"
R.0.1,LP,"OPTIMAL",0,249.239,0.261,0.715612,0,3392,0,0.0292291,1,0,369b76e5377e6446ad10eae57d4da57c73dd3523707bd9c6fdaac5b50ee69887,369b76e5377e6446ad10eae57d4da57c73dd3523707bd9c6fdaac5b50ee69887,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0.1_lp.gurobi.log"
R.0.1.0,LP,"OPTIMAL",0,248.812,0.297,0.822583,0,3947,0,0.0292291,1,0,0d2b73e03a8643ddb238229c30cd037bfc42c611f8eb03814c8a5530f14e2c70,0d2b73e03a8643ddb238229c30cd037bfc42c611f8eb03814c8a5530f14e2c70,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0.1.0_lp.gurobi.log"
R.0.1.1,LP,"OPTIMAL",0,248.347,0.234,0.650463,0,3457,0,0.0292291,1,0,162d3c05808dbe6ff2d42e90935009dbdfe2c26b40c712131f35ad831d4bf9ca,162d3c05808dbe6ff2d42e90935009dbdfe2c26b40c712131f35ad831d4bf9ca,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0.1.1_lp.gurobi.log"
R.0.1.0.0,LP,"INFEASIBLE",0,247.95,0.311,0.806259,0,3282,0,0.0292291,1,0,b63f2b6147f0dcf3105cce40ad0210e4e94d05933b03af426b543ff03b6305ad,b63f2b6147f0dcf3105cce40ad0210e4e94d05933b03af426b543ff03b6305ad,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0.1.0.0_lp.gurobi.log"
R.0.1.0.1,LP,"OPTIMAL",0,247.475,0.304,0.865846,0,3880,0,0.0292291,1,0,012facd5c2158f1fa0275dad6a5f91fd3a7b7aa2c72d813167444bac7728e925,012facd5c2158f1fa0275dad6a5f91fd3a7b7aa2c72d813167444bac7728e925,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0.1.0.1_lp.gurobi.log"
R.0.1.0.1.0,LP,"OPTIMAL",0,247.009,0.312,0.885422,0,4128,0,0.0292291,1,0,42d056d208c5362b52241237cf75125d2166d0cffe2c7fce643f2f09b232d104,42d056d208c5362b52241237cf75125d2166d0cffe2c7fce643f2f09b232d104,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__tight_T_seed5103__c3_replica__300s\external\native_logs\R.0.1.0.1.0_lp.gurobi.log"
