telemetry_seconds,event,leaf_id,global_lb,verified_ub
0.0222775,initialize,R,0,0.284963
0.45076,lp_complete,R,0.0774814,0.284963
0.450787,atomic_split,R,0.0774814,0.284963
0.92278,lp_complete,R.0,0.0774814,0.284963
0.922803,atomic_split,R.0,0.0774814,0.284963
1.3225,lp_complete,R.1,0.0829097,0.284963
1.32253,atomic_split,R.1,0.0829097,0.284963
1.58403,lp_infeasible,R.0.0,0.0829097,0.284963
2.00974,lp_complete,R.0.1,0.131966,0.284963
2.00977,atomic_split,R.0.1,0.131966,0.284963
2.47133,lp_complete,R.0.1.0,0.131966,0.284963
2.47135,atomic_split,R.0.1.0,0.131966,0.284963
2.87295,lp_complete,R.0.1.1,0.133361,0.284963
2.87297,atomic_split,R.0.1.1,0.133361,0.284963
3.34859,lp_infeasible,R.0.1.0.0,0.133361,0.284963
3.81361,lp_complete,R.0.1.0.1,0.145588,0.284963
3.81364,atomic_split,R.0.1.0.1,0.145588,0.284963
4.28869,lp_complete,R.0.1.0.1.0,0.145588,0.284963
4.28872,atomic_split,R.0.1.0.1.0,0.145588,0.284963
4.71975,lp_complete,R.0.1.0.1.1,0.145969,0.284963
4.71978,atomic_split,R.0.1.0.1.1,0.145969,0.284963
5.18559,lp_complete,R.0.1.0.1.0.1,0.145969,0.284963
5.18563,atomic_split,R.0.1.0.1.0.1,0.145969,0.284963
5.60872,lp_infeasible,R.0.1.0.1.0.0,0.148993,0.284963
6.06846,lp_complete,R.0.1.0.1.0.1.0,0.148993,0.284963
6.06849,atomic_split,R.0.1.0.1.0.1.0,0.148993,0.284963
6.5016,lp_complete,R.0.1.0.1.0.1.1,0.149109,0.284963
6.50163,atomic_split,R.0.1.0.1.0.1.1,0.149109,0.284963
6.96612,lp_complete,R.0.1.0.1.0.1.0.0,0.149109,0.284963
6.96616,atomic_split,R.0.1.0.1.0.1.0.0,0.149109,0.284963
7.4147,lp_complete,R.0.1.0.1.0.1.0.1,0.149197,0.284963
7.41473,atomic_split,R.0.1.0.1.0.1.0.1,0.149197,0.284963
