parent_id,parent_bound,child_id,child_inherited_bound,inheritance_valid,source
R,2.35078,R.0,2.35078,true,"inherited_complete_parent_lp_bound"
R,2.35078,R.1,2.35078,true,"inherited_complete_parent_lp_bound"
R.0,2.5689,R.0.0,2.5689,true,"inherited_complete_parent_lp_bound"
R.0,2.5689,R.0.1,2.5689,true,"inherited_complete_parent_lp_bound"
R.1,2.66193,R.1.0,2.66193,true,"inherited_complete_parent_lp_bound"
R.1,2.66193,R.1.1,2.66193,true,"inherited_complete_parent_lp_bound"
R.0.1,2.65536,R.0.1.0,2.65536,true,"inherited_complete_parent_lp_bound"
R.0.1,2.65536,R.0.1.1,2.65536,true,"inherited_complete_parent_lp_bound"
R.0.1.1,2.69379,R.0.1.1.0,2.69379,true,"inherited_complete_parent_lp_bound"
R.0.1.1,2.69379,R.0.1.1.1,2.69379,true,"inherited_complete_parent_lp_bound"
R.1.0,2.66222,R.1.0.0,2.66222,true,"inherited_complete_parent_lp_bound"
R.1.0,2.66222,R.1.0.1,2.66222,true,"inherited_complete_parent_lp_bound"
R.1.0.1,2.76776,R.1.0.1.0,2.76776,true,"inherited_complete_parent_lp_bound"
R.1.0.1,2.76776,R.1.0.1.1,2.76776,true,"inherited_complete_parent_lp_bound"
R.1.0.0,2.66373,R.1.0.0.0,2.66373,true,"inherited_complete_parent_lp_bound"
R.1.0.0,2.66373,R.1.0.0.1,2.66373,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1,2.70839,R.1.0.0.1.0,2.70839,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1,2.70839,R.1.0.0.1.1,2.70839,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0,2.66796,R.1.0.0.0.0,2.66796,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0,2.66796,R.1.0.0.0.1,2.66796,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0,2.67731,R.1.0.0.0.0.0,2.67731,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0,2.67731,R.1.0.0.0.0.1,2.67731,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1,2.68377,R.1.0.0.0.1.0,2.68377,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1,2.68377,R.1.0.0.0.1.1,2.68377,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.0,2.6883,R.1.0.0.0.0.0.0,2.6883,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.0,2.6883,R.1.0.0.0.0.0.1,2.6883,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1,2.68364,R.1.0.0.0.0.1.0,2.68364,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1,2.68364,R.1.0.0.0.0.1.1,2.68364,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.0,2.68768,R.1.0.0.0.0.1.0.0,2.68768,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.0,2.68768,R.1.0.0.0.0.1.0.1,2.68768,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.1,2.68683,R.1.0.0.0.0.1.1.0,2.68683,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.1,2.68683,R.1.0.0.0.0.1.1.1,2.68683,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0,2.6853,R.1.0.0.0.1.0.0,2.6853,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0,2.6853,R.1.0.0.0.1.0.1,2.6853,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1,2.69369,R.1.0.0.0.1.1.0,2.69369,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1,2.69369,R.1.0.0.0.1.1.1,2.69369,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.0,2.6874,R.1.0.0.0.1.0.0.0,2.6874,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.0,2.6874,R.1.0.0.0.1.0.0.1,2.6874,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.1,2.68896,R.1.0.0.0.1.0.1.0,2.68896,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.1,2.68896,R.1.0.0.0.1.0.1.1,2.68896,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.1.1,2.68842,R.1.0.0.0.0.1.1.1.0,2.68842,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.1.1,2.68842,R.1.0.0.0.0.1.1.1.1,2.68842,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.1.0,2.68875,R.1.0.0.0.0.1.1.0.0,2.68875,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.1.0,2.68875,R.1.0.0.0.0.1.1.0.1,2.68875,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.0.0,2.68862,R.1.0.0.0.1.0.0.0.0,2.68862,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.0.0,2.68862,R.1.0.0.0.1.0.0.0.1,2.68862,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.0.1,2.68905,R.1.0.0.0.1.0.0.1.0,2.68905,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0.0.1,2.68905,R.1.0.0.0.1.0.0.1.1,2.68905,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.0.1,2.68926,R.1.0.0.0.0.1.0.1.0,2.68926,true,"inherited_complete_parent_lp_bound"
