leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,presolve_observed,root_relaxation_observed,model_sha256,row_signature,native_log
R,LP,"OPTIMAL",0,238.018,0.264,0.784739,0,3610,0,0.0292439,1,0,06e3d5939c1056cf5c33a36000eaea452428c8d9648d4ac86b311fd4c7b4d4b0,06e3d5939c1056cf5c33a36000eaea452428c8d9648d4ac86b311fd4c7b4d4b0,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R_lp.gurobi.log"
R.0,LP,"OPTIMAL",0,237.591,0.248,0.727429,0,3322,0,0.0293185,1,0,6e84cf0e90f364c360f0b6beada030047a766184164d8f45a8f5ae8d1022bf3f,6e84cf0e90f364c360f0b6beada030047a766184164d8f45a8f5ae8d1022bf3f,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0_lp.gurobi.log"
R.1,LP,"OPTIMAL",0,237.159,0.212,0.651917,0,3020,0,0.0296692,1,0,48c2227bd979a19232c9f3f480fcad2a48e12873424c602318ac26feae5e534c,48c2227bd979a19232c9f3f480fcad2a48e12873424c602318ac26feae5e534c,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.1_lp.gurobi.log"
R.0.0,LP,"OPTIMAL",0,236.783,0.25,0.745935,0,3505,0,0.0296823,1,0,72a8010c60d5b4f8c87a97bcfabf13970c3241b736c233a08df142feb2fe4afe,72a8010c60d5b4f8c87a97bcfabf13970c3241b736c233a08df142feb2fe4afe,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0.0_lp.gurobi.log"
R.0.0.0,LP,"OPTIMAL",0,236.372,0.254,0.757056,0,3106,0,0.0296823,1,0,2df9b57eca202bf5bc65e1a33fe187b397ba44ae07b2edd0d3b0bbeffab332e5,2df9b57eca202bf5bc65e1a33fe187b397ba44ae07b2edd0d3b0bbeffab332e5,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0.0.0_lp.gurobi.log"
R.0.0.1,LP,"OPTIMAL",0,235.954,0.224,0.674977,0,3235,0,0.030149,1,0,8f17f6d75fb766863e34f6beb0f8ab15aba3128eb6fab5ad74b3e3bc60fb9efb,8f17f6d75fb766863e34f6beb0f8ab15aba3128eb6fab5ad74b3e3bc60fb9efb,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0.0.1_lp.gurobi.log"
R.0.1,LP,"OPTIMAL",0,235.563,0.2,0.596878,0,2857,0,0.030149,1,0,ab8f0c2424e1af0f88dcac7c9a4456f14c76a8784c7bad050d111ba19f1c44e7,ab8f0c2424e1af0f88dcac7c9a4456f14c76a8784c7bad050d111ba19f1c44e7,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0.1_lp.gurobi.log"
R.0.0.0.0,LP,"OPTIMAL",0,235.199,0.275,0.82158,0,3050,0,0.030149,1,0,e582210c69572089c1c6ebf23161fccbcf75fa03a56c4f22ba47a491370b68bd,e582210c69572089c1c6ebf23161fccbcf75fa03a56c4f22ba47a491370b68bd,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0.0.0.0_lp.gurobi.log"
R.0.0.0.1,LP,"OPTIMAL",0,234.759,0.236,0.67863,0,3292,0,0.030149,1,0,f7391df94fdf410738ca4036db248f4917c239d6964276237e0e4d11e9294514,f7391df94fdf410738ca4036db248f4917c239d6964276237e0e4d11e9294514,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0.0.0.1_lp.gurobi.log"
R.0.0.0.1.1,LP,"OPTIMAL",0,234.357,0.262,0.759322,0,3460,0,0.030149,1,0,74c3c7554121939dd0089b2333c0e2ca3d7f9fbc90e1ab52c7866583c462dc00,74c3c7554121939dd0089b2333c0e2ca3d7f9fbc90e1ab52c7866583c462dc00,"E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage2__moderate_seed5302__c3_replica__300s\external\native_logs\R.0.0.0.1.1_lp.gurobi.log"
