vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,28,12,4,0,0,4,482.90495888888626,240.0,33
0,2,28,12,5,12,0,4,16,215.5034866990493,720.0,33
0,3,12,5,13,0,2,16,14,404.5149396063691,120.0,14
0,4,5,13,0,0,14,14,0,408.84432762699475,840.0,33
1,1,0,10,26,1,0,0,1,579.6987716320408,60.0,23
1,2,10,26,7,10,0,1,11,224.29906988467465,600.0,26
1,3,26,7,20,0,10,11,1,576.2148929486337,600.0,28
1,4,7,20,0,0,1,1,0,542.4816284461982,60.0,8
2,1,0,19,8,3,0,0,3,406.8060042569338,180.0,15
2,2,19,8,14,9,0,3,12,440.64532092034506,540.0,24
2,3,8,14,1,0,1,12,11,393.2050631445073,60.0,9
2,4,14,1,0,0,11,11,0,338.71214960344247,660.0,31
