station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,20,31,31
2,10,15,10
3,7,11,7
4,22,16,22
5,12,18,14
6,9,14,9
7,18,28,28
8,33,24,24
9,6,10,6
10,24,18,23
11,18,13,18
12,45,33,33
13,19,33,33
14,8,13,9
15,10,16,10
16,11,8,11
17,22,16,22
18,15,11,15
19,18,13,15
20,7,11,8
21,11,8,11
22,7,11,7
23,18,13,18
24,22,16,22
25,7,11,7
26,36,26,26
27,16,12,16
28,37,28,33
29,10,16,10
30,8,13,8
