vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,11,7,8,0,0,8,428.83928990029267,480.0,11
0,2,11,7,1,8,0,8,16,644.5213331955259,480.0,14
0,3,7,1,8,0,8,16,8,368.8022017366058,480.0,14
0,4,1,8,2,14,0,8,22,393.2050631445073,840.0,26
0,5,8,2,4,0,11,22,11,508.1295270691806,660.0,15
0,6,2,4,6,0,9,11,2,332.82553430919694,540.0,13
0,7,4,6,5,18,0,2,20,534.3224835102262,1080.0,31
0,8,6,5,9,0,9,20,11,366.29848423710837,540.0,13
0,9,5,9,12,0,7,11,4,335.5256753779851,420.0,11
0,10,9,12,3,23,0,4,27,552.0348493028388,1380.0,42
0,11,12,3,10,0,8,27,19,534.5817142264186,480.0,12
0,12,3,10,0,7,0,19,26,322.54727090811394,420.0,13
