source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,model_type,bound_valid,bound_scope,can_merge_bound,gap_to_cutoff,bound_used_for_merge,closed_by_bound,gini_spread_cuts_added,required_movement_lb,required_movement_cuts_added,global_handling_capacity_lb,global_handling_capacity_cuts_added,transfer_subset_capacity_cuts_added,low_gini_ratio_band_domains_tightened,direct_gini_cap_rows,tight_mccormick_rows,inventory_conservation_rows,movement_reachability_domains,visit_inventory_linking_rows,objective_estimator_cutoff_rows,penalty_lb,support_duration_pair_cuts,support_duration_triple_cuts,transfer_compatibility_cuts,receiver_source_cover_cuts,oracle_strengthening_families_enabled,json_path,lp_path,log_path,interval_lower_bound,incumbent_upper_bound,interval_status,reason,requires_pricing_closure,pricing_closure_available,interval_bound_valid,interval_closure_source,interval_closure_source_detail,interval_requires_pricing_closure,interval_pricing_closure_satisfied,interval_oracle_used_for_certificate,interval_oracle_is_diagnostic_only,interval_relaxation_bound_valid,interval_bpc_tree_nodes,interval_bpc_pricing_calls,interval_bpc_exact_pricing_closed,interval_final_lb,interval_final_ub_cutoff,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason,oracle_bound_merged,oracle_bound_value,oracle_bound_status,oracle_bound_source_json,oracle_bound_solver_status,oracle_bound_model_type,oracle_bound_valid,lower_bound_before_oracle,lower_bound_after_oracle,lower_bound_improvement_by_oracle,leaf_closed_by_oracle_bound
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.auto_oracle.csv,6,0.475,0.59375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,2.3155068261,0,120.3872302,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.127896355843,2.3155068261,false,190,16,1,1920,1,0,12,1,448,2,12,40,1,8.44738686667,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_high_imbalance_seed3201_300s_auto_oracle\interval_6.json,results\gf_compact_bc_timeprofile_round\raw\exact_high_imbalance_seed3201_300s_auto_oracle\interval_6.lp,results\interval_cutoff_work\high_imbalance_seed3201_interval_cutoff_475000000_593750000_1117245509\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.auto_oracle.csv,7,0.59375,0.7125,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,6.1499252,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,2.44340319194,true,190,18,1,2160,1,0,12,1,448,2,12,40,1,8.44738686667,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_high_imbalance_seed3201_300s_auto_oracle\interval_7.json,results\gf_compact_bc_timeprofile_round\raw\exact_high_imbalance_seed3201_300s_auto_oracle\interval_7.lp,results\interval_cutoff_work\high_imbalance_seed3201_interval_cutoff_593750000_712500000_1117365903\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_300s.auto_oracle.csv,9,0.5046875,0.534375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,1.7110088864,0,120.3905912,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.0383045556506,1.7110088864,false,190,13,1,1560,1,0,13,1,436,2,13,40,1,3.92809856027,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_high_imbalance_seed3202_300s_auto_oracle\interval_9.json,results\gf_compact_bc_timeprofile_round\raw\exact_high_imbalance_seed3202_300s_auto_oracle\interval_9.lp,results\interval_cutoff_work\high_imbalance_seed3202_interval_cutoff_504687500_534375000_1116739206\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.044542850351,0,300.2502963,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00460969231375,0.044542850351,false,190,24,3,2760,1,0,11,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_1.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_1135635401\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048809709088,0,300.2344469,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000342833576745,0.048809709088,false,190,31,5,3360,1,0,13,1,452,2,4,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_2.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_1135935662\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7599519,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,50,9,4200,1,0,18,1,452,2,3,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_3.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_1136235904\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,7,0.00921610362464,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,2.2465653,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_7.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_7.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9216104_12288138_1136236670\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,11,0.00844809498925,0.00921610362464,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7368804,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_11.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_11.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_8448095_9216104_1136238932\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,16,0.00787208851271,0.00796808959214,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7815075,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_16.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_16.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_7872089_7968090_1136239676\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,17,0.00796808959214,0.00806409067156,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.8274015,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_17.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_17.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_7968090_8064091_1136240465\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
