file,instance_name,compact_bc_cut_profile,compact_bc_enabled_cut_families,compact_bc_enabled_families_requested,compact_bc_enabled_families_effective,compact_bc_cuts_added_by_family,compact_bc_domains_tightened_by_family,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_receiver_source_cover_mode,compact_bc_total_root_cut_rounds,compact_bc_dynamic_cut_families,compact_bc_root_probe,compact_bc_dynamic_cuts_added_by_family,compact_bc_dynamic_max_violation_by_family,compact_bc_dynamic_cuts_added_total,compact_bc_domain_propagation_mode,compact_bc_domain_propagation_rounds,compact_bc_domain_propagation_rounds_completed,compact_bc_model_size_policy,compact_bc_expensive_static_families,compact_bc_use_dynamic_instead_of_static,compact_bc_model_rows,compact_bc_model_cols,compact_bc_model_nonzeros,compact_bc_memory_estimate_mb,compact_bc_disabled_families_due_to_size,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,compact_bc_solver_threads,thread_fairness_class,compact_bc_direct_gini_cap_rows_added,compact_bc_direct_gini_floor_rows_added,compact_bc_tight_mccormick_rows_added,compact_bc_inventory_conservation_rows_added,compact_bc_movement_reachability_domains_tightened,compact_bc_visit_inventory_linking_rows_added,compact_bc_objective_estimator_cutoff_rows_added,compact_bc_penalty_lb,compact_bc_penalty_lb_rows_added,compact_bc_support_duration_pair_cuts_added,compact_bc_support_duration_triple_cuts_added,compact_bc_pairwise_transfer_compatibility_cuts_added
results\gf_compact_bc_effectiveness_round2\raw\diagnostic_interval_comparisons\moderate_seed3301_hard_low_gini_plain_20s.json,moderate_seed3301.txt,balanced,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=0;domain_width_before=684;domain_width_after=574,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=0;domain_width_before=684;domain_width_after=574,off,0,,lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,static,1,1,full,auto,False,5097,2117,23484,1.41812133789,none,0,20.1120006,1,one_thread_fair,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_effectiveness_round2\raw\diagnostic_interval_comparisons\moderate_seed3301_hard_low_gini_tailored_20s.json,moderate_seed3301.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,off,1,,lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,static,1,1,full,auto,False,9880,2119,53611,2.69178009033,none,0,20.4247497,1,one_thread_fair,1,1,452,2,5,40,1,0,1,570,3420,60
results\gf_compact_bc_effectiveness_round2\raw\diagnostic_interval_comparisons\v12_m1_easy_plain_20s.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=0;domain_width_before=643;domain_width_after=636,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=0;domain_width_before=643;domain_width_after=636,off,0,,lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,static,1,1,full,auto,False,5102,489,53046,1.8966217041,none,0,20.1507694,1,one_thread_fair,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_effectiveness_round2\raw\diagnostic_interval_comparisons\v12_m1_easy_tailored_20s.json,regen_candidate_V12_M1_average.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,off,1,,lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,static,1,1,full,auto,False,5814,491,56742,2.06837463379,none,0,4.6388127,1,one_thread_fair,1,1,292,2,11,24,1,0.0295892857143,1,66,220,12
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.json,high_imbalance_seed3201.txt,balanced,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=896;inventory_conservation=4;visit_inventory_linking=80;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=380;required_movement=2;global_handling_capacity=2;support_duration_pair=1140;support_duration_triple=6840;transfer_compat=120;receiver_source_cover=0,movement_reachability=24;low_gini_ratio_band_domains=24,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=896;inventory_conservation=4;visit_inventory_linking=80;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=380;required_movement=2;global_handling_capacity=2;support_duration_pair=1140;support_duration_triple=6840;transfer_compat=120;receiver_source_cover=0,movement_reachability=24;low_gini_ratio_band_domains=24,off,4,"support,transfer,visit,objective,receiver",lp,dynamic_root_total=0,,0,iterative,3,0,resource-adaptive,auto,False,19742,4234,107076,5.37753295898,,4439,126.5371554,1,one_thread_fair,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s_auto_oracle\interval_6.json,high_imbalance_seed3201.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=536,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=536,off,2,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,iterative,3,1,resource-adaptive,auto,False,9871,2117,53538,2.68876647949,none,0,120.3872302,1,one_thread_fair,1,1,448,2,12,40,1,8.44738686667,1,570,3420,60
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s_auto_oracle\interval_7.json,high_imbalance_seed3201.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=534,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=534,off,2,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,iterative,3,1,resource-adaptive,auto,False,9871,2117,53538,2.68876647949,none,0,6.1499252,1,one_thread_fair,1,1,448,2,12,40,1,8.44738686667,1,570,3420,60
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_300s.json,high_imbalance_seed3202.txt,balanced,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=436;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0,movement_reachability=13;low_gini_ratio_band_domains=13,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=436;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0,movement_reachability=13;low_gini_ratio_band_domains=13,off,2,"support,transfer,visit,objective,receiver",lp,dynamic_root_total=0,,0,iterative,3,0,resource-adaptive,auto,False,9850,2111,53511,2.6848526001,,3196,120.3905912,1,one_thread_fair,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_300s_auto_oracle\interval_9.json,high_imbalance_seed3202.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=436;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=13;domain_width_before=684;domain_width_after=536,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=436;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=13;domain_width_before=684;domain_width_after=536,off,2,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,iterative,3,1,resource-adaptive,auto,False,9850,2111,53511,2.6848526001,none,0,120.3905912,1,one_thread_fair,1,1,436,2,13,40,1,3.92809856027,1,570,3420,60
results\gf_compact_bc_effectiveness_round2\raw\exact_moderate_seed3301_1200s.json,moderate_seed3301.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,one_thread_fair,,,,,,,,,,,,
