leaf_label,activation_scope,variant,status,closed,runtime_seconds,nodes,low_gini,diagnostic_only,paper_certificate_contamination
moderate_seed3301_hard_low_gini,forced_fixed_interval_probe,plain,interval_unresolved_timeout,False,20.1120006,1062,True,True,False
moderate_seed3301_hard_low_gini,forced_fixed_interval_probe,tailored,interval_unresolved_timeout,False,20.4247497,1154,True,True,False
v12_m1_easy,forced_fixed_interval_probe,plain,interval_unresolved_timeout,False,20.1507694,3514,False,True,False
v12_m1_easy,forced_fixed_interval_probe,tailored,interval_closed,True,4.6388127,2045,False,True,False
