parent_stem,source_type,source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,closure_source_class,bound_valid,best_bound,runtime_seconds,nodes,gap_to_cutoff,cuts_added
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,1,0.2375,0.475,replaced_by_children,unresolved,,unresolved,true,1.50460803,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,,unresolved,true,1.74210803,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,4,0.2375,0.35625,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,5,0.35625,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,6,0.475,0.59375,unresolved,unresolved,,unresolved,true,1.74210803,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.intervals.csv,7,0.59375,0.7125,unresolved,unresolved,,unresolved,true,1.74210803,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,1,0.2375,0.475,replaced_by_children,unresolved,,unresolved,true,1.50460803,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,,unresolved,true,1.74210803,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,4,0.2375,0.35625,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,5,0.35625,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,2.44340319194,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,6,0.475,0.59375,unresolved,unresolved,,unresolved,true,2.315507,,,,||||
exact_high_imbalance_seed3201_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,7,0.59375,0.7125,bound_fathomed,unresolved,,invalid_or_unknown,true,2.443403,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,1,0.2375,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,,unresolved,true,1.06421478404,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,4,0.475,0.59375,replaced_by_children,unresolved,,unresolved,true,1.06421478404,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,5,0.59375,0.7125,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,6,0.475,0.534375,replaced_by_children,unresolved,,unresolved,true,1.06421478404,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,7,0.534375,0.59375,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,8,0.475,0.5046875,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_1200s_static,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,9,0.5046875,0.534375,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_300s.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
exact_high_imbalance_seed3202_300s,interval_csv,results\gf_compact_bc_effectiveness_round2\raw\exact_high_imbalance_seed3202_300s.intervals.csv,1,0.2375,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,,relaxation_only,true,1.74931345205,,,,||||
