official_run_id,official_instance,phase_index,leaf_id,target_kind,current_bound,target_bound,other_open_min_bound,verified_cutoff,status,native_status,native_bound,target_reached,exact_closure,requeued,solver_runtime,work,nodes,event_source
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.0,next_leaf,0.024872307366954508,0.037649503710854168,0.037649503710854168,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.037885533381676995,1,0,1,16.401999950408936,31.546687000965271,270,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.1,next_leaf,0.037649503710854168,0.037885533381676995,0.037885533381676995,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040820677230591289,1,0,1,0.81499981880187988,1.5930970663932773,1,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.0.0,next_leaf,0.037885533381676995,0.040820677230591289,0.037885533381676995,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040937052778012829,1,0,1,10.203000068664551,21.258861471440984,72,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.0.1,next_leaf,0.037885533381676995,0.040820677230591289,0.040820677230591289,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040836456993391099,1,0,1,64.604000091552734,142.33883549489832,1212,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.1.0,next_leaf,0.040820677230591289,0.040836456993391099,0.040836456993391099,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040861108879086741,1,0,1,1.4589998722076416,2.8591828057417823,1,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.0.1.0,next_leaf,0.040836456993391099,0.040861108879086741,0.040836456993391099,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040872380901720233,1,0,1,81.971000194549561,176.33998674474668,1404,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.0.1.1,next_leaf,0.040836456993391099,0.040861108879086741,0.040861108879086741,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040914671540228674,1,0,1,20.663000106811523,41.910238716075121,481,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.1.0.0,next_leaf,0.040861108879086741,0.040872380901720233,0.040872380901720233,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040895711769869475,1,0,1,1.4909999370574951,2.9093665185389921,1,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.0.1.0.0,next_leaf,0.040872380901720233,0.040895711769869475,0.040872380901720233,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.041224653574409041,1,0,1,12.276000022888184,25.984660382912427,216,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0.0.1.0.1,next_leaf,0.040872380901720233,0.040895711769869475,0.040895711769869475,0.049468682614419446,target_reached_requeue,INTERRUPTED,0.040959440553179939,1,0,1,15.802999973297119,30.826805035973987,471,c6_next_strict_frontier_bound_reached_requeue
