state,instance,lp_state,primitive_variable_count,fractional_variable_count,fractionality_sum,fractionality_mean,fractionality_max,diagnostic_only
H1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,P,660,103,11.79321287715058,0.01786850435931906,0.49019321775550306,True
H1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L,660,136,20.699810274095025,0.03136334890014398,0.4931661398707441,True
H1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,R,660,80,10.882165586158306,0.016488129675997432,0.4925470904505511,True
H2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,P,490,77,15.606035725916074,0.03184905250186954,0.5,True
H2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,L,490,73,13.775915565667603,0.028114113399321638,0.5,True
H2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,R,490,85,19.42729385205383,0.03964753847357924,0.475636989816806,True
H3,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,P,660,106,9.337479867378459,0.014147696768755241,0.47577810040717194,True
H3,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,L,660,98,13.022846429377326,0.019731585499056556,0.44736842105263364,True
H3,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,R,660,85,5.872344440636786,0.008897491576722403,0.42857142857142855,True
B1,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,P,660,125,18.863742300047758,0.028581427727345086,0.4968198324127471,True
B1,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,L,660,124,17.58784088678974,0.02664824376786324,0.4722733421615679,True
B1,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,R,660,110,17.23166266869986,0.026108579801060395,0.43081581453794016,True
B2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,P,660,137,22.4308735613827,0.03398617206270106,0.4749925741589667,True
B2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,L,660,119,21.083273310792546,0.031944353501200826,0.5,True
B2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,R,660,126,21.6960929431799,0.03287286809572712,0.4594526461281818,True
B3,high_imbalance_seed3201,P,1580,166,29.963651075368222,0.018964336123650772,0.4984127776114704,True
B3,high_imbalance_seed3201,L,1580,155,30.000578874278784,0.018987708148277712,0.4836834949492903,True
B3,high_imbalance_seed3201,R,1580,129,25.37059771337458,0.016057340324920618,0.49989785439725953,True
B4,moderate_seed3301,P,1580,137,26.954123364610936,0.017059571749753758,0.49567264395891275,True
B4,moderate_seed3301,L,1580,119,24.685814668757416,0.015623933334656592,0.49514662207649796,True
B4,moderate_seed3301,R,1580,143,31.73200818518072,0.020083549484291596,0.4963129231998873,True
U1,round39_small_hard_V12_M2_Q20_slot06_seed258908503,P,444,102,16.78359797526791,0.03780089634069349,0.47303498931018256,True
U1,round39_small_hard_V12_M2_Q20_slot06_seed258908503,L,444,99,14.929297905037581,0.033624544831165726,0.4725787550802383,True
U1,round39_small_hard_V12_M2_Q20_slot06_seed258908503,R,444,89,14.602949606796841,0.032889526141434325,0.4585889248667172,True
T1,tight_T_seed3102,P,1580,127,23.612639601002915,0.014944708608229693,0.4962324259390378,True
T1,tight_T_seed3102,L,1580,144,31.14073690249441,0.019709327153477476,0.4736953989991797,True
T1,tight_T_seed3102,R,1580,156,23.843695082013554,0.015090946254438959,0.4857142857142769,True
