dimension_class,V,M,variable,family,semantic_original_decision,counted_once
V10_M1,10,1,d_0_1,drop_quantity,True,True
V10_M1,10,1,d_0_2,drop_quantity,True,True
V10_M1,10,1,d_0_3,drop_quantity,True,True
V10_M1,10,1,d_0_4,drop_quantity,True,True
V10_M1,10,1,d_0_5,drop_quantity,True,True
V10_M1,10,1,d_0_6,drop_quantity,True,True
V10_M1,10,1,d_0_7,drop_quantity,True,True
V10_M1,10,1,d_0_8,drop_quantity,True,True
V10_M1,10,1,d_0_9,drop_quantity,True,True
V10_M1,10,1,d_0_10,drop_quantity,True,True
V10_M1,10,1,Y_1,final_inventory,True,True
V10_M1,10,1,Y_2,final_inventory,True,True
V10_M1,10,1,Y_3,final_inventory,True,True
V10_M1,10,1,Y_4,final_inventory,True,True
V10_M1,10,1,Y_5,final_inventory,True,True
V10_M1,10,1,Y_6,final_inventory,True,True
V10_M1,10,1,Y_7,final_inventory,True,True
V10_M1,10,1,Y_8,final_inventory,True,True
V10_M1,10,1,Y_9,final_inventory,True,True
V10_M1,10,1,Y_10,final_inventory,True,True
V10_M1,10,1,mode_0_1,operation_mode,True,True
V10_M1,10,1,mode_0_2,operation_mode,True,True
V10_M1,10,1,mode_0_3,operation_mode,True,True
V10_M1,10,1,mode_0_4,operation_mode,True,True
V10_M1,10,1,mode_0_5,operation_mode,True,True
V10_M1,10,1,mode_0_6,operation_mode,True,True
V10_M1,10,1,mode_0_7,operation_mode,True,True
V10_M1,10,1,mode_0_8,operation_mode,True,True
V10_M1,10,1,mode_0_9,operation_mode,True,True
V10_M1,10,1,mode_0_10,operation_mode,True,True
V10_M1,10,1,p_0_1,pickup_quantity,True,True
V10_M1,10,1,p_0_2,pickup_quantity,True,True
V10_M1,10,1,p_0_3,pickup_quantity,True,True
V10_M1,10,1,p_0_4,pickup_quantity,True,True
V10_M1,10,1,p_0_5,pickup_quantity,True,True
V10_M1,10,1,p_0_6,pickup_quantity,True,True
V10_M1,10,1,p_0_7,pickup_quantity,True,True
V10_M1,10,1,p_0_8,pickup_quantity,True,True
