record_granularity,official_run_id,instance,decision_sequence,interval_id,family,variable_count,parent_effective_cardinality_sum,parent_rc_cardinality_sum,left_rc_cardinality_sum,right_rc_cardinality_sum,parent_fixed_count,left_fixed_count,right_fixed_count,parent_tightened_count,left_tightened_count,right_tightened_count,exact_child_disjoint_count,full_row_level_ledger_committed
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0,final_inventory,12,253,253,253,164,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,L0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,10,L0.0.0,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,10,L0.0.0,final_inventory,12,253,253,253,238,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,10,L0.0.0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,10,L0.0.0,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,10,L0.0.0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,10,L0.0.0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,10,L0.0.0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,2,L0.0,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,2,L0.0,final_inventory,12,253,253,253,215,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,2,L0.0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,2,L0.0,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
