state,lp_state,purpose,model_path,model_sha256,optimal,terminal_valid,primal_values_available,reduced_costs_available,basis_status_available,live_score_solve
H1,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF/external/models/L0.lp,30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,1,1,1,1,1,False
H1,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF/external/models/L0.0.lp,60cbc736afdf0fd2b55e25801b920c62339b514b9b0e4e0939387d020c6f6f6a,1,1,1,1,1,False
H1,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF/external/models/L0.1.lp,6761c60cd46972c67a5047dfd419a69e5c6fa25198bdb24cdccd0e8b031ab08f,1,1,1,1,1,False
H2,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF/external/models/L0.lp,3702a7d910d3230f488a1e38d4343981124ee8fc32f908f1c90f785fd8bc94fd,1,1,1,1,1,False
H2,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF/external/models/L0.0.lp,9f4a599cf2712734317b9f780599c68142552217d88374cd0f3a85e0cfe32709,1,1,1,1,1,False
H2,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF/external/models/L0.1.lp,7880eaf0fa438291b8b77e9de4be6c38fec2b9087260dde92877ac32350a94c6,1,1,1,1,1,False
H3,P,offline_primal_dual_attribute_extraction,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM/external/models/L0.lp,2fcc99b0974c2e3237ba9bbd3aca1f4d74f00aefedc1671adf61485916523c2b,1,1,1,1,1,False
H3,L,offline_primal_dual_attribute_extraction,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM/external/models/L0.0.lp,b15703f0a5c497d964a58800f29622511e2da308fa3994f01d503babb7b27971,1,1,1,1,1,False
H3,R,offline_primal_dual_attribute_extraction,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM/external/models/L0.1.lp,e1029eec9065ac3b2544aba367b8cb589edb9deadd71221a49d5b15d22541c4a,1,1,1,1,1,False
B1,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF/external/models/L0.lp,b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,1,1,1,1,1,False
