state,instance,primitive_variable_count,disjoint_child_domain_count,overlapping_child_domain_count,disjoint_variables,exact_set_separation
H1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,660,0,660,,False
H2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,490,0,490,,False
H3,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,660,0,660,,False
B1,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,660,0,660,,False
B2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,660,0,660,,False
B3,high_imbalance_seed3201,1580,0,1580,,False
B4,moderate_seed3301,1580,0,1580,,False
U1,round39_small_hard_V12_M2_Q20_slot06_seed258908503,444,0,444,,False
T1,tight_T_seed3102,1580,0,1580,,False
