official_run_id,official_instance,leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,terminal_ready,coalesced_block_id,coverage_member_ids,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,single_child_contraction_parent,strict_infeasible_half_verified,contracted_infeasible_gamma_L,contracted_infeasible_gamma_U,contraction_source,closure_source,lower_bound_sources
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0,,0,-1,0,0.049468682614419446,0,0.020977495607439198,replaced,1,1,0,0.020977495607439198,0,0,,,0,0,0,0,0,,,,,objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0,L0,1,0,0,0.024734341307209723,0.024872307366954508,0.037885533381676995,replaced,1,1,0,0.024872307366954508,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1,L0,1,1,0.024734341307209723,0.049468682614419446,0.037649503710854168,0.040820677230591289,replaced,1,1,0,0.037649503710854168,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.0,L0.0,2,0,0,0.012367170653604861,0.037885533381676995,0.040937052778012829,replaced,1,1,0,0.028210692227058676,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.1,L0.0,2,1,0.012367170653604861,0.024734341307209723,0.037885533381676995,0.040836456993391099,replaced,1,1,0,0.032852225758396171,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1.0,L0.1,2,0,0.024734341307209723,0.037101511960814584,0.040820677230591289,0.040861108879086741,replaced,1,1,0,0.037802754977028653,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1.1,L0.1,2,1,0.037101511960814584,0.049468682614419446,0.046945261960814583,0.046945261960814583,open,1,1,0,0.046945261960814583,0,0,,,0,0,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.1.0,L0.0.1,3,0,0.012367170653604861,0.018550755980407292,0.040836456993391099,0.040872380901720233,replaced,1,1,0,0.034528448501144372,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.1.1,L0.0.1,3,1,0.018550755980407292,0.024734341307209723,0.040836456993391099,0.040914671540228674,replaced,1,1,0,0.036837885098759578,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1.0.0,L0.1.0,3,0,0.024734341307209723,0.030917926634012154,0.040861108879086741,0.040895711769869475,replaced,1,1,0,0.039154805079827541,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1.0.1,L0.1.0,3,1,0.030917926634012154,0.037101511960814584,0.041957188086599047,0.041957188086599047,open,1,1,0,0.041957188086599047,0,0,,,0,0,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.1.0.0,L0.0.1.0,4,0,0.012367170653604861,0.015458963317006077,0.040872380901720233,0.041224653574409041,open,1,1,0,0.035379603639645915,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.1.0.1,L0.0.1.0,4,1,0.015458963317006077,0.018550755980407292,0.040872380901720233,0.040959440553179939,open,1,1,0,0.036527736551815328,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1.0.0.0,L0.1.0.0,4,0,0.024734341307209723,0.027826133970610938,0.040895711769869475,0.040936377771101873,replaced,1,1,0,0.039983404280085677,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1.0.0.1,L0.1.0.0,4,1,0.027826133970610938,0.030917926634012154,0.041139040783423245,0.041139040783423245,open,1,1,0,0.041139040783423245,0,0,,,0,0,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.1.1.0,L0.0.1.1,4,0,0.018550755980407292,0.021642548643808508,0.040914671540228674,0.041006074557920505,open,1,1,0,0.037677749445911596,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.0.1.1.1,L0.0.1.1,4,1,0.021642548643808508,0.024734341307209723,0.040914671540228674,0.040953722342014047,open,1,1,0,0.038829639595667695,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0.1.0.0.0.0,L0.1.0.0.0,5,0,0.024734341307209723,0.026280237638910332,0.040936377771101873,0.041173047173312556,open,1,1,0,0.040400955705338477,0,0,,,1,1,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound
