official_run_id,official_instance,run_id,instance,decision_sequence,interval_id,parent_rows,parent_columns,parent_nonzeros,left_rows,left_columns,left_nonzeros,right_rows,right_columns,right_nonzeros,additional_models_built,additional_lp_queries,additional_mip_queries
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,1,L0,16430,1406,167542,16430,1406,167542,16434,1406,167714,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,2,L0.0,16430,1406,167542,16430,1406,167542,16433,1406,167708,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,3,L0.1,16434,1406,167714,16434,1406,167714,16437,1406,167732,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,4,L0.0.1,16433,1406,167708,16433,1406,167708,16433,1406,167708,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,5,L0.1.0,16434,1406,167714,16434,1406,167714,16436,1406,167726,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,6,L0.0.1.0,16433,1406,167708,16433,1406,167708,16433,1406,167708,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,7,L0.1.0.0,16434,1406,167714,16434,1406,167714,16436,1406,167726,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,8,L0.0.1.1,16433,1406,167708,16433,1406,167708,16433,1406,167708,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,9,L0.1.0.0.0,16434,1406,167714,16434,1406,167714,16436,1406,167726,0,0,0
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,10,L0.0.0,16430,1406,167542,16430,1406,167542,16431,1406,167696,0,0,0
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,1,L0,16421,1404,166961,16421,1404,166961,16421,1404,167107,0,0,0
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt,1,L0,5985,1039,42964,5985,1039,42964,5985,1039,43084,0,0,0
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt,1,L0,16421,1404,166664,16421,1404,166664,16421,1404,166810,0,0,0
stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503.txt,1,L0,11288,1016,112427,11288,1016,112427,11288,1016,112569,0,0,0
stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201.txt,1,L0,11916,3378,66725,11916,3378,67105,11916,3378,66969,0,0,0
stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201.txt,5,L0.1.0,11916,3378,67349,11916,3378,67349,11916,3378,67349,0,0,0
stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201.txt,6,L0.0.1.1,11916,3378,67349,11916,3378,67349,11916,3378,67349,0,0,0
stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201.txt,7,L0.1.0.0,11916,3378,67349,11916,3378,67349,11916,3378,67349,0,0,0
stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201.txt,8,L0.0.1.1.1,11916,3378,67349,11916,3378,67349,11916,3378,67349,0,0,0
stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201.txt,9,L0.1.0.0.0,11916,3378,67349,11916,3378,67349,11916,3378,67349,0,0,0
stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201.txt,10,L0.0.1.1.1.1,11916,3378,67349,11916,3378,67349,11916,3378,67349,0,0,0
stage3_300s__moderate_seed3301__K1-AM-RC-A,moderate_seed3301,stage3_300s__moderate_seed3301__K1-AM-RC-A,moderate_seed3301.txt,1,L0,11925,3380,67136,11925,3380,67136,11927,3380,67394,0,0,0
stage3_300s__moderate_seed3301__K1-AM-RC-A,moderate_seed3301,stage3_300s__moderate_seed3301__K1-AM-RC-A,moderate_seed3301.txt,2,L0.0,11925,3380,67136,11925,3380,67136,11925,3380,67382,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,2,L0.0,11903,3374,67107,11903,3374,67107,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,4,L0.0.1,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,5,L0.0.0.1,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,6,L0.0.1.0,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,7,L0.0.0.1.1,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,8,L0.0.1.0.1,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,9,L0.0.1.0.0,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,10,L0.0.0.1.1.1,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102,stage3_300s__tight_T_seed3102__K1-AM-RC-A,tight_T_seed3102.txt,11,L0.0.1.0.0.0,11903,3374,67347,11903,3374,67347,11903,3374,67347,0,0,0
