instance,algorithm,evidence_timing,exact_or_capped,process_cap_seconds,work,time_seconds,lower_bound,verified_upper_bound,gap,gi_300,gi_1200,gi_1800,split_count,rescue_count,lp_model_count,source_path,artifact_sha256,executable_sha256
high_imbalance_seed3201,K1-AM-RC-A,contemporaneous_300s,capped,300,502.630437458964,280.2432995,2.3744186276999355,2.4434031919432,0.028232984417279963,0.06864324324110552,,,9,5,21,results/gf_k1_lp_primal_dual_rescue_round49/runs/stage3_300s__high_imbalance_seed3201__K1-AM-RC-A/result.json,c2967868d3b64b46a64d8121a016c100e697a33ad6d27f71dac2920e1d482e9d,f73b40a12590ab432abc201f95fbcea70ba499337239f31175fba589ab0d8ed5
high_imbalance_seed3201,K1-AM,historical_same_machine_solver,exact,1800,970.6039194826874,522.3557284,2.443403191943199,2.4434031919432,3.635005563669461e-16,,,,4,,13,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3201__K1-AM/result.json,0ffa0155ab920b34d07df34ee74d1d1810faf47e8b4f4bd388c360af6bfd48ba,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K1-AMF-v1,historical_negative_ablation_context,capped,300,496.39875876404045,280.1753366,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07381236380519535,,,4,,,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__high_imbalance_seed3201__K1-AMF/result.json,5bf34d9da2642029a2022eccd635c2314e0a1f6c4baad8fda335e41a868ce44c,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
high_imbalance_seed3201,K1-r015,historical_same_machine_solver_context,exact,1800.0,970.6039194826874,539.8320984,2.443403191943199,2.4434031919432,3.635005563669461e-16,0.0757419473252554,0.025506474259755486,0.017004316173170324,,,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K1-r015/result.json,fb216b8fe539b5635ef636f149426705b8693d498fd1e49799b57c25f1f89fdc,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,K4-AMC,historical_same_machine_solver,exact,1800,710.8503886196801,380.8227237,2.4434031905083478,2.4434031919432,5.872351488108015e-10,,,,0,,10,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3201__K4-AMC/result.json,91f2a24058fcc16eab3ed8f4ecc03416daf39a116b03db1b2f3da48ff9f36a45,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K4-C6,historical_same_machine_solver_context,exact,1800.0,710.8503886196801,390.3545002,2.4434031905083478,2.4434031919432,5.872351488108015e-10,0.10199468378173344,0.027723277689208025,0.018482185126138685,,,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K4-r001/result.json,8b5453cbbed54d6bfa85fae76945645a272549da09302d3c9c2aa1b7aa4c3e1d,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,P-GRB,historical_same_machine_solver_context,capped,1800.0,3581.442796133532,1780.0888304,2.1626879532523016,2.4434031919432,0.1148869902505325,0.16842320217850698,0.14992386106779754,0.14016361479485587,,,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__P-GRB/result.json,ede9a8fa1e7c00d307b3ec38d68d706ab50df85e13a898afb7aefc4d564d829a,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,gamma-veto,historical_same_machine_solver_longer_cap,exact,3600,1138.0330315218748,589.9931994,2.443403191209587,2.4434031919432,3.002423720451883e-10,0.09773331541347871,0.02676883974250682,,,,,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__high_imbalance_seed3201__gamma-veto,74b4f9bbe05d4d2efa712206ba46911c43c4851d55c8913a234ecbfd31c37edd,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4
moderate_seed3301,K1-AM-RC-A,contemporaneous_300s,capped,300,469.2980239636761,280.1428221,0.04668234894142926,0.04915255266474515,0.05025585833078519,0.22475427271092074,,,2,1,5,results/gf_k1_lp_primal_dual_rescue_round49/runs/stage3_300s__moderate_seed3301__K1-AM-RC-A/result.json,dc016eeda88a3aee7ec1637739342300b03ceab04b071156fa1fbc74f77d0ab0,f73b40a12590ab432abc201f95fbcea70ba499337239f31175fba589ab0d8ed5
moderate_seed3301,K1-AM,historical_same_machine_solver,capped,1800,3348.952552261385,1780.0458299,0.04796472692368177,0.04915255266474515,0.024166104844344193,,,,1,,5,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__moderate_seed3301__K1-AM/result.json,7c311f0ffc8500a20e10b90a262cdafccd66e06cb6657f40f21b9d52d6403fbc,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
