state,instance,variable,family,exact_child_disjoint,effective_lower_P,effective_upper_P,rc_lower_P,rc_upper_P,rc_reason_P,effective_lower_L,effective_upper_L,rc_lower_L,rc_upper_L,rc_reason_L,effective_lower_R,effective_upper_R,rc_lower_R,rc_upper_R,rc_reason_R
B3,high_imbalance_seed3201,Y_14,final_inventory,False,18,34,18,24,positive_reduced_cost_at_lower_bound,18,34,18,22,positive_reduced_cost_at_lower_bound,18,28,18,20,positive_reduced_cost_at_lower_bound
T1,tight_T_seed3102,Y_20,final_inventory,False,6,10,6,8,positive_reduced_cost_at_lower_bound,6,10,6,7,positive_reduced_cost_at_lower_bound,6,8,6,7,positive_reduced_cost_at_lower_bound
