official_run_id,official_instance,telemetry_seconds,event,leaf_id,gamma_L,gamma_U,status,global_lb,verified_ub,detail
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,0.39314860000000001,lp_complete,L0,0,0.049468682614419446,optimal,0.020977495607439198,0.049468682614419446,complete_lp_relaxation
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1.1558927999999999,atomic_split,L0,0,0.049468682614419446,replaced,0.024872307366954508,0.049468682614419446,round49_rc_rescue:D_reduced_cost_domain_dominance
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,17.575568400000002,native_bound_target_reached,L0.0,0,0.024734341307209723,open,0.037649503710854168,0.049468682614419446,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,18.406998099999999,native_bound_target_reached,L0.1,0.024734341307209723,0.049468682614419446,open,0.037885533381676995,0.049468682614419446,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,19.1524839,atomic_split,L0.0,0,0.024734341307209723,replaced,0.037885533381676995,0.049468682614419446,round49_rc_rescue:D_reduced_cost_domain_dominance
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29.373214099999998,native_bound_target_reached,L0.0.0,0,0.012367170653604861,open,0.037885533381676995,0.049468682614419446,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,93.996212700000001,native_bound_target_reached,L0.0.1,0.012367170653604861,0.024734341307209723,open,0.040820677230591289,0.049468682614419446,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,94.754534000000007,atomic_split,L0.1,0.024734341307209723,0.049468682614419446,replaced,0.040820677230591289,0.049468682614419446,round49_rc_rescue:D_reduced_cost_domain_dominance
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,96.230065100000004,native_bound_target_reached,L0.1.0,0.024734341307209723,0.037101511960814584,open,0.040836456993391099,0.049468682614419446,c6_next_strict_frontier_bound_reached_requeue
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,96.989639499999996,atomic_split,L0.0.1,0.012367170653604861,0.024734341307209723,replaced,0.040836456993391099,0.049468682614419446,round49_rc_rescue:D_reduced_cost_domain_dominance
