official_run_id,official_instance,run_id,instance,decision_sequence,interval_id,parent_id,depth,gamma_L,gamma_U,parent_model_fingerprint,left_model_fingerprint,right_model_fingerprint,incumbent_epoch,B_p,B_L,B_R,U,g_L,g_R,eta,mu,S_AM,parent_terminal,parent_optimal,left_terminal,left_optimal,right_terminal,right_optimal,parent_primal_valid,parent_rc_valid,parent_basis_valid,left_primal_valid,left_rc_valid,left_basis_valid,right_primal_valid,right_rc_valid,right_basis_valid,primitive_variable_count,rc_valid_variable_count,parent_fixed_count,left_fixed_count,right_fixed_count,parent_tightened_count,left_tightened_count,right_tightened_count,D_P,D_L,D_R,H_P,H_L,H_R,disjoint_domain_count,AM_action,RC_predicted_action,final_action,rescue_activated,profile_valid,invalid_profile_reason,selected_rule,decision_hash
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,1,L0,,0,0,0.049468682614419446,30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,60cbc736afdf0fd2b55e25801b920c62339b514b9b0e4e0939387d020c6f6f6a,6761c60cd46972c67a5047dfd419a69e5c6fa25198bdb24cdccd0e8b031ab08f,0.049468682614419446,0.020977495607439198,0.024872307366954508,0.037649503710854168,0.049468682614419446,0.13670233390279926,0.58516368936578111,0.13670233390279926,0.3609330116342902,0.049340385072973669,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99241380504957544,1,1,0.99147155260902908,0,native-target,split,split,1,1,none,d-rcd,335402fd1d5d2539
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,2,L0.0,L0,1,0,0.024734341307209723,60cbc736afdf0fd2b55e25801b920c62339b514b9b0e4e0939387d020c6f6f6a,9628d84ff2571fa2f61b90da9a03bf73263b0e9b1e00af8ef45f937076199229,26a6debac7a61f58d7e3df62b25d82dd74b7aef107dceda6fa0bdcd14e5f74d6,0.049468682614419446,0.037885533381676995,0.028210692227058676,0.032852225758396171,0.049468682614419446,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99686814042473704,1,1,0.99693036435004456,0,exact-close,split,split,1,1,none,d-rcd,844a2740c1d3b4ef
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,3,L0.1,L0,1,0.024734341307209723,0.049468682614419446,6761c60cd46972c67a5047dfd419a69e5c6fa25198bdb24cdccd0e8b031ab08f,a72c109c73da54b3c8aeb600056bbbf0e638ff24e9bccec0a00417527622a8f3,5dce3a83ca79a6d94b16a3288b71ebbaccf9d67f577d9157df5ff8aed83ff2d7,0.049468682614419446,0.040820677230591289,0.037802754977028653,0.046945261960814583,0.049468682614419446,0,0.70820778415290064,0,0.35410389207645032,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,1,0,0,0,1,1,0.98977429099958758,1,1,0.98864021904450727,0,exact-close,split,split,1,1,none,d-rcd,89b9eae4c430df76
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,4,L0.0.1,L0.0,2,0.012367170653604861,0.024734341307209723,26a6debac7a61f58d7e3df62b25d82dd74b7aef107dceda6fa0bdcd14e5f74d6,95c4263c4e1911515505c223282dc203d0de92cf1f1fd8172652903813f80728,c2bec7bab97789656722641e15e2c8c16a056ceae2e0dd6eb7aa8d8133f60f07,0.049468682614419446,0.040836456993391099,0.034528448501144372,0.036837885098759578,0.049468682614419446,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99713856996465688,1,1,0.9973227655899396,0,exact-close,split,split,1,1,none,d-rcd,2c03d026831e0260
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,5,L0.1.0,L0.1,2,0.024734341307209723,0.037101511960814584,a72c109c73da54b3c8aeb600056bbbf0e638ff24e9bccec0a00417527622a8f3,d8aae9303502dd3f9e50caf909a3f2344b1699dc40f5a076ef4ca9d9994f1558,c25e34a36deb7ee7e46e32e7eea08c36cebf7281d6d0f43333d1a2ae336c4b86,0.049468682614419446,0.040861108879086741,0.039154805079827541,0.041957188086599047,0.049468682614419446,0,0.12733892746257602,0,0.063669463731288012,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99502262413329601,1,1,0.99517825927176895,0,exact-close,split,split,1,1,none,d-rcd,962ae516f37d27b6
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,6,L0.0.1.0,L0.0.1,3,0.012367170653604861,0.018550755980407292,95c4263c4e1911515505c223282dc203d0de92cf1f1fd8172652903813f80728,c5cffd9364d1f147a63aec0f61b38768c6cbb89ef043b29a1d189243b232665a,e1261234d6d8297a2d14510c9afaf54847b50ecc1913a5e537d8f5057272baa7,0.049468682614419446,0.040872380901720233,0.035379603639645915,0.036527736551815328,0.049468682614419446,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99937496078800425,1,1,0.99943617091077752,0,exact-close,split,split,1,1,none,d-rcd,85cf226725d4afcd
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,7,L0.1.0.0,L0.1.0,3,0.024734341307209723,0.030917926634012154,d8aae9303502dd3f9e50caf909a3f2344b1699dc40f5a076ef4ca9d9994f1558,6772125ce25db3461392b505591733f2e4a16e735833f462e69aedec393f9c8d,9f76a1abe201895d5629396236e1bebd62e1f3aff8b240229b40c03984c28226,0.049468682614419446,0.040895711769869475,0.039983404280085677,0.041139040783423245,0.049468682614419446,0,0.028383277858510317,0,0.014191638929255158,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99806951264955224,1,1,0.99823650843936329,0,exact-close,split,split,1,1,none,d-rcd,5dc081e8e4116b6d
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,8,L0.0.1.1,L0.0.1,3,0.018550755980407292,0.024734341307209723,c2bec7bab97789656722641e15e2c8c16a056ceae2e0dd6eb7aa8d8133f60f07,21d2ffe53e062553dace683ba8852482cc280a9fc81937d7a5a8252c596370b1,d58043dacac166fbc5636fbb76a49dfc064a8e5f8c1be5a80500ece22ce3fd22,0.049468682614419446,0.040914671540228674,0.037677749445911596,0.038829639595667695,0.049468682614419446,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.9981572594072593,1,1,0.99832653674289529,0,exact-close,split,split,1,1,none,d-rcd,4d4754f14520ade3
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,9,L0.1.0.0.0,L0.1.0.0,4,0.024734341307209723,0.027826133970610938,6772125ce25db3461392b505591733f2e4a16e735833f462e69aedec393f9c8d,f03b9212322da4f164e4b3e118a72b67f58529584cfe06add90ce0bba99a0865,02f66d960be61986f3b347b31deb7b194f6af054a78812649793866bf479fb38,0.049468682614419446,0.040936377771101873,0.040400955705338477,0.040977132140941452,0.049468682614419446,0,0.0047764784062419019,0,0.0023882392031209509,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99909275561943545,1,1,0.99917614471542471,0,exact-close,split,split,1,1,none,d-rcd,698b3ebe720bb563
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,10,L0.0.0,L0.0,2,0,0.012367170653604861,9628d84ff2571fa2f61b90da9a03bf73263b0e9b1e00af8ef45f937076199229,4820c5d1749fe3b0a567d03a886a7ccfaac0fa78423d3811ee29553d5383b037,580203f8bfbce6001a8dd7afb0e42fe012f2bd5e1f6db197edafd97108c98668,0.049468682614419446,0.040937052778012829,0.02993232489654531,0.032226517032568763,0.049468682614419446,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,0,0,0,0,0,1,1,0.99870525280289157,1,1,0.99883547523971417,0,exact-close,split,split,1,1,none,d-rcd,05cabdd8244966eb
