number,id,arm,leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
2,D3,DS,L0,LP,OPTIMAL,0,296.90872059999998,0.032999992370605469,0.080715058550227384,0,826,0,0.01065841,20ced4062dd12e2cff8484c3e54f919162b9195920542c72fca85b7fcee2083c,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS\external\native_logs\L0_lp.gurobi.log
2,D3,DS,L0.0,LP,OPTIMAL,0,296.79899710000001,0.029000043869018555,0.069939396977481305,0,801,0,0.011400619000000001,8fe3662f9612445e800fd85625cb9408448872f8009f4d471a142abd68e6e67f,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS\external\native_logs\L0.0_lp.gurobi.log
2,D3,DS,L0.1,LP,OPTIMAL,0,296.7114947,0.0279998779296875,0.071008968239378412,0,608,0,0.012513035,4b24746dc6f909b3ae39b42dbcfcb1b60d4bb9b59151ea0fdad5533ff3295f62,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS\external\native_logs\L0.1_lp.gurobi.log
2,D3,DS,L0,MIP,TIME_LIMIT,0,296.666967,296.66299986839294,466.24461708464446,36558,5524917,0,0.089213796999999997,20ced4062dd12e2cff8484c3e54f919162b9195920542c72fca85b7fcee2083c,1,0,not_requested,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS\external\native_logs\L0_terminal_mip.gurobi.log
3,D3,DS-X,L0,LP,OPTIMAL,0,296.91394580000002,0.029999971389770508,0.074841376672484555,0,756,0,0.010641401999999999,cb3a30d5fb1e4a5ad25f28ccd9444c0ea58e163b9c3b3ee71bbed605cd25964e,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS-X\external\native_logs\L0_lp.gurobi.log
3,D3,DS-X,L0.0,LP,OPTIMAL,0,296.82583249999999,0.031999826431274414,0.08386660198962928,0,875,0,0.011452896000000001,ab867d486aed7522f538f687dbc0bbb123955793e5e386e370afdf1afb1e9db6,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS-X\external\native_logs\L0.0_lp.gurobi.log
3,D3,DS-X,L0.1,LP,OPTIMAL,0,296.73581180000002,0.026000022888183594,0.064792595523698107,0,537,0,0.012336994,9c5984057b888be767c758972b02475edd110aa6c437891d589d3b110d6b8844,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS-X\external\native_logs\L0.1_lp.gurobi.log
3,D3,DS-X,L0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0,296.69425569999999,0.15199995040893555,0.28999133221009449,1,1944,0,0.027221856999999999,cb3a30d5fb1e4a5ad25f28ccd9444c0ea58e163b9c3b3ee71bbed605cd25964e,1,0,not_requested,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS-X\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log
3,D3,DS-X,L0,MIP,OPTIMAL,0,296.53104839999997,254.8199999332428,426.11443725656352,25850,4798218,0,0.090200347,cb3a30d5fb1e4a5ad25f28ccd9444c0ea58e163b9c3b3ee71bbed605cd25964e,1,0,not_requested,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\D3\DS-X\external\native_logs\L0_terminal_mip.gurobi.log
5,C2,DS,L0,LP,OPTIMAL,0,296.87390470000003,0.12999987602233887,0.35916437291220238,0,2503,0,0.020606808000000001,483673cbfac259f3890522497e9ea15e0b6daf4f459c9f613d9b793ba4b849dc,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\C2\DS\external\native_logs\L0_lp.gurobi.log
