number,id,arm,kind,paid_wall,startup_wall,initial_UB,startup_witness_scope,final_UB,global_LB,certificate,total_HGA_generations,uncached_decoder_calls,descent_complete,completed_seeds,descent_passes,descent_checks_including_cache_hits,cross_route_enabled,cross_route_neighbors,cross_route_checks,cross_route_moves,initial_route_sha256,result_sha256
1,D3,P-GRB,performance,297.06300000008196,0,,Initial exact-phase witness when present,0.04505416158053462,0.04151782225242993,False,0,0,False,0,0,0,False,0,0,0,,3de57c9f65e6ad8dbf93e558cacd99873179822c818728dc91b1a14c2737bb59
2,D3,DS,performance,297.0779999997467,0.0177951,0.16637611211610104,Initial exact-phase witness when present,0.04500155005562836,0.04322870702341869,False,0,159,True,24,61,153,False,0,0,0,39031f1de4db4596c6e5ed72cebb750ae6bb548a54175265f2c2f244f15c2747,f9b435b5b2ef6db32b38f632eb544084bd0458028f064be2666c884c95f566b3
3,D3,DS-X,performance,255.36000000033528,0.0286008,0.12971944742960761,Initial exact-phase witness when present,0.04500155005562836,0.04500155005562833,True,0,189,True,24,84,175,True,115,47,28,fd44838c651dbf5808764635d85012835551ef3b9942acfc137a4ffd7212b022,33718cbed1ade70a243db57bcad97f6860e1e5b5e40ec54fb21349dac01ca05c
4,C2,P-GRB,performance,297.06300000008196,0,,Initial exact-phase witness when present,0.8299634131717752,0.7714821344222142,False,0,0,False,0,0,0,False,0,0,0,,47f9b94bb7078b4ad01fabd1e1ce26415835b90419ae06a85f4336f5a063ee4c
5,C2,DS,performance,154.21900000004098,0.015818,0.8543436794186281,Initial exact-phase witness when present,0.8299634131717752,0.8299634131717742,True,0,201,True,24,61,216,False,0,0,0,87443825da339a6c61f4c2e2b86ab57788d97b23ad5b273cbba3b2c62c572208,3762d8a16f48b0e98e59bf2fb957e053735c508f8d75d9dd051368de6f14f695
6,C2,DS-X,performance,111.23400000017136,0.0378094,0.837091467554702,Initial exact-phase witness when present,0.8299634131717752,0.8299634131717741,True,0,371,True,24,86,421,True,235,94,22,5fa7c559530b94271e5b39ca1dff1cb69c9baedf707a73be5c2a908fd95fc371,daabf45893abc8f1f67d96e223e4aeaa5c9dee65d11cd4b1a1d1a42d1fa3cdce
7,D4,P-GRB,performance,297.06199999991804,0,,Initial exact-phase witness when present,0.506343307565206,0.19607331175073336,False,0,0,False,0,0,0,False,0,0,0,,9738423f18e9f9d4a8b6eaa97b774ade77cda7d1fd6444632425e73ae1d25159
8,D4,DS,performance,53.859999999869615,0.0158149,0.7231425401198691,Initial exact-phase witness when present,0.506343307565206,0.5063433075652058,True,0,172,True,24,71,194,False,0,0,0,0e3d3ea8f18fdd5cdc6160e0bf66b584250d2a5d9285de9a3a5a7d19ba45e452,31c8d1196c3b9ee23cb18156060f0955db88e585e57476c624512fbd3c4b3b2f
9,D4,DS-X,performance,54.70300000021234,0.0488111,0.5920810174302061,Initial exact-phase witness when present,0.506343307565206,0.5063433075652052,True,0,335,True,24,106,382,True,378,131,46,1b3ed2bc90426d24f9abeb8cd1ae167faabd5b87bb4e923b38d883dd6c3cb559,90c99c42f4c5976378df80e7ebd074b818586475e4d1bdaca6ac94dcea7fca65
