number,id,arm,tree_rows,roots,replaced,independently_recomputed_interval_union,initial_range_covers_G_le_verified_F
2,D3,DS,1,1,0,True,True
3,D3,DS-X,1,1,0,True,True
5,C2,DS,3,1,1,True,True
6,C2,DS-X,3,1,1,True,True
8,D4,DS,1,1,0,True,True
9,D4,DS-X,1,1,0,True,True
