number,id,arm,leaf_id,solve_kind,model_sha256,original_rows,original_columns,original_nonzeros,logged_LP_optimum
2,D3,DS,L0,LP,20ced4062dd12e2cff8484c3e54f919162b9195920542c72fca85b7fcee2083c,4383,1962,21336,0.02763105418
2,D3,DS,L0.0,LP,8fe3662f9612445e800fd85625cb9408448872f8009f4d471a142abd68e6e67f,4383,1962,21336,0.02763105418
2,D3,DS,L0.1,LP,4b24746dc6f909b3ae39b42dbcfcb1b60d4bb9b59151ea0fdad5533ff3295f62,4322,1900,21462,0.09303180606
2,D3,DS,L0,MIP,20ced4062dd12e2cff8484c3e54f919162b9195920542c72fca85b7fcee2083c,4383,1962,21336,
3,D3,DS-X,L0,LP,cb3a30d5fb1e4a5ad25f28ccd9444c0ea58e163b9c3b3ee71bbed605cd25964e,4375,1954,21310,0.02780811398
3,D3,DS-X,L0.0,LP,ab867d486aed7522f538f687dbc0bbb123955793e5e386e370afdf1afb1e9db6,4375,1954,21310,0.0278918139
3,D3,DS-X,L0.1,LP,9c5984057b888be767c758972b02475edd110aa6c437891d589d3b110d6b8844,4266,1844,21238,0.07470347371
3,D3,DS-X,L0,CHILD_BOUND_TARGET_MIP,cb3a30d5fb1e4a5ad25f28ccd9444c0ea58e163b9c3b3ee71bbed605cd25964e,4375,1954,21310,
3,D3,DS-X,L0,MIP,cb3a30d5fb1e4a5ad25f28ccd9444c0ea58e163b9c3b3ee71bbed605cd25964e,4375,1954,21310,
5,C2,DS,L0,LP,483673cbfac259f3890522497e9ea15e0b6daf4f459c9f613d9b793ba4b849dc,8575,2794,49028,0.6026384073
5,C2,DS,L0.0,LP,7d9bed884ea47c77426459ea983c2214defc15d63eeb8d989eb382e2f3f4980f,8575,2794,49028,0.6039762554
5,C2,DS,L0.1,LP,43072743e7ac85379072ef9796f55a471606f759f8a9fe56ebb060a0ab9bbf92,8575,2794,49348,
5,C2,DS,L0.0.0,LP,d575198bdf257d485865711186c20c13c7aa04d0cca225deb766c3a6918b60cb,8575,2794,49028,0.6332155642
5,C2,DS,L0.0.1,LP,8f2200fdad84369a5facfdbe01cb8b07e044b71a9b5b32dd6fd237a9a08e8b47,8575,2794,49348,0.6661727987
5,C2,DS,L0.0,CHILD_BOUND_TARGET_MIP,7d9bed884ea47c77426459ea983c2214defc15d63eeb8d989eb382e2f3f4980f,8575,2794,49028,
5,C2,DS,L0.0,MIP,7d9bed884ea47c77426459ea983c2214defc15d63eeb8d989eb382e2f3f4980f,8575,2794,49028,
6,C2,DS-X,L0,LP,791125ba71b7859d343599d809e15090e684b6500c4accb67ff77e940ba4a877,8575,2794,49028,0.6026664677
6,C2,DS-X,L0.0,LP,6dba2ca36dd13378e14afbda09ce8a657cf5bf4af3d5be629a64ca427da040d3,8575,2794,49028,0.6040101173
6,C2,DS-X,L0.1,LP,6a4389a2fd9f54927cd0bf93185b59fcae9fa59396dc1b1b187056dc808c3b0b,8575,2794,49348,
6,C2,DS-X,L0.0.0,LP,1c50a1f935a072c1b61f17c341801ce645f96a2cb74d679aa59e98b16e014061,8575,2794,49028,0.6358165775
6,C2,DS-X,L0.0.1,LP,d0985eeea107180906706768ce3a81123631ee86a5ca7a1fe15ef46008d92478,8575,2794,49348,0.6649213191
6,C2,DS-X,L0.0,CHILD_BOUND_TARGET_MIP,6dba2ca36dd13378e14afbda09ce8a657cf5bf4af3d5be629a64ca427da040d3,8575,2794,49028,
6,C2,DS-X,L0.0,MIP,6dba2ca36dd13378e14afbda09ce8a657cf5bf4af3d5be629a64ca427da040d3,8575,2794,49028,
8,D4,DS,L0,LP,34f4f41c920f6885105fa851acef3bb379b66ffd7a56366a38afe5c7f513ba00,4119,1698,19868,0.1140663222
8,D4,DS,L0.0,LP,19e9ab3603f3d38a111ba9cbe8a33439c0db386a5ec66d1fa58221328df8a519,4119,1698,19868,0.1145722082
8,D4,DS,L0.1,LP,87dd147b9e9d247886fda21a994702798624b255799a33986ceb179566e9b623,4119,1698,20094,0.4333292084
8,D4,DS,L0,CHILD_BOUND_TARGET_MIP,34f4f41c920f6885105fa851acef3bb379b66ffd7a56366a38afe5c7f513ba00,4119,1698,19868,
8,D4,DS,L0,MIP,34f4f41c920f6885105fa851acef3bb379b66ffd7a56366a38afe5c7f513ba00,4119,1698,19868,
9,D4,DS-X,L0,LP,8002fb291748638d0a9dfabba8bc0c1c1139a74064c521f7d1bd1210c61d9157,4119,1698,19868,0.1140663222
9,D4,DS-X,L0.0,LP,437031e1b0568844d76237f70d3168419ff0f9b8876812f7f9725f353c69ada7,4119,1698,19868,0.1148896427
9,D4,DS-X,L0.1,LP,4ec08544a9ab8e0374eb3f994b3524674777dec053b806bd31656ee3658d88ea,4119,1698,20094,0.367798447
9,D4,DS-X,L0,CHILD_BOUND_TARGET_MIP,8002fb291748638d0a9dfabba8bc0c1c1139a74064c521f7d1bd1210c61d9157,4119,1698,19868,
9,D4,DS-X,L0,MIP,8002fb291748638d0a9dfabba8bc0c1c1139a74064c521f7d1bd1210c61d9157,4119,1698,19868,
