leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0,LP,"INFEASIBLE",0,281.726,0.053,0.171999,0,428,0,0.0173746,ac2cd14b2ffdede149b41de827edec418f598a33c4fe0bc00fd4ec1c458710d0,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,281.562,0.056,0.175558,0,687,0,0.0175793,0c91630b5a9a013aff2995611b0c57c7c85fa4a13aebf8a6cd43db3535c748e9,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L1_lp.gurobi.log"
L1.0,LP,"INFEASIBLE",0,281.401,0.0420001,0.136526,0,333,0,0.0176049,8c78f28977d1e84bc4cfecb42c1b753c7b8a3af2d9a08cb65d97de7e0198a86f,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,281.252,0.0609999,0.196544,0,678,0,0.017693,d160b6b592c5c2fae6b6596d5919ebebda1ca30b13572e74ea78eb0ffa91daec,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L1.1_lp.gurobi.log"
L2,LP,"OPTIMAL",0,281.084,0.0630002,0.206229,0,757,0,0.017693,d6df33007543347a48dd57fce7519bccad9c1dc3318dd9a727fc143bb269026e,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L2_lp.gurobi.log"
L2.0,LP,"OPTIMAL",0,280.915,0.0610001,0.194399,0,697,0,0.017693,1ec97f83afc4ab522fa588f01f375523a508a22fe606c473dd005d63399fecee,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"OPTIMAL",0,280.746,0.0640001,0.207389,0,840,0,0.017693,0c7d6c9bc90373102ae2dc8e56df44be7cadc0d78d37866f787c99a062575077,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L2.1_lp.gurobi.log"
L3,LP,"OPTIMAL",0,280.575,0.0610001,0.175397,0,698,0,0.017693,1e3f5f7b4fc0372159ef8067260a575e5a553745de7be14e2034f16f83bd8c53,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L3_lp.gurobi.log"
L3.0,LP,"OPTIMAL",0,280.404,0.0539999,0.181095,0,771,0,0.017693,6ef39e7673d5b053156220f21af55a8ee8bcf989920b65872b7c9ada06ab266f,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L3.0_lp.gurobi.log"
L3.1,LP,"INFEASIBLE",0,280.24,0.049,0.168343,0,584,0,0.017693,6a3cac15c32f5bd4f83d007cf1ffcb3a3ef562603a5a36d2971dc611b14bd9bd,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\stage2__V12_M1__c2_paper__300s\external\native_logs\L3.1_lp.gurobi.log"
