parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L2.0.0.1.1,0.306099,L2.0.0.1.1.0,0.306358,0,L2.0.0.1.1.1,0.3075,0,0.306358,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.0.1.1.1,0.306277,L2.0.0.1.0.1.1.1.0,0.306312,0,L2.0.0.1.0.1.1.1.1,0.306452,0,0.306312,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0,0.306358,L2.0.0.1.1.0.0,0.30649,0,L2.0.0.1.1.0.1,0.307057,0,0.30649,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.0,0.30649,L2.0.0.1.1.0.0.0,0.306558,0,L2.0.0.1.1.0.0.1,0.30684,0,0.306558,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.0.0,0.306558,L2.0.0.1.1.0.0.0.0,0.306593,0,L2.0.0.1.1.0.0.0.1,0.306734,0,0.306593,1e-07,"strict_child_lp_bound_improvement"
L1.1.1.1.1,0.306741,L1.1.1.1.1.0,0,1,L1.1.1.1.1.1,0.307726,0,0.307726,1e-07,"child_lp_infeasible"
L2.0.0.1.1.0.0.1,0.30684,L2.0.0.1.1.0.0.1.0,0.306875,0,L2.0.0.1.1.0.0.1.1,0.307016,0,0.306875,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.1,0.307057,L2.0.0.1.1.0.1.0,0.307123,0,L2.0.0.1.1.0.1.1,0.307407,0,0.307123,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.0.0.0,0.30708,L2.0.0.0.0.0.0.0.0,0.307894,0,L2.0.0.0.0.0.0.0.1,0.307202,0,0.307202,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.1.0,0.307123,L2.0.0.1.1.0.1.0.0,0.307158,0,L2.0.0.1.1.0.1.0.1,0.307299,0,0.307158,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.0.1.1,0.307407,L2.0.0.1.1.0.1.1.0,0.307441,0,L2.0.0.1.1.0.1.1.1,0.307583,0,0.307441,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1,0.3075,L2.0.0.1.1.1.0,0.307627,0,L2.0.0.1.1.1.1,0.308199,0,0.307627,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.0,0.307627,L2.0.0.1.1.1.0.0,0.307692,0,L2.0.0.1.1.1.0.1,0.307977,0,0.307692,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.0.0,0.307692,L2.0.0.1.1.1.0.0.0,0.307725,0,L2.0.0.1.1.1.0.0.1,0.307867,0,0.307725,1e-07,"strict_child_lp_bound_improvement"
L1.1.1.1.1.1,0.307726,L1.1.1.1.1.1.0,0,1,L1.1.1.1.1.1.1,0.308219,0,0.308219,1e-07,"child_lp_infeasible"
L2.0.0.1.1.1.0.1,0.307977,L2.0.0.1.1.1.0.1.0,0.30801,0,L2.0.0.1.1.1.0.1.1,0.308152,0,0.30801,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.1.1.1,0.308199,L2.0.0.1.1.1.1.0,0.308263,0,L2.0.0.1.1.1.1.1,0.308549,0,0.308263,1e-07,"strict_child_lp_bound_improvement"
L1.1.1.1.1.1.1,0.308219,L1.1.1.1.1.1.1.0,0,1,L1.1.1.1.1.1.1.1,0.308465,0,0.308465,1e-07,"child_lp_infeasible"
L2.0.0.1.1.1.1.0,0.308263,L2.0.0.1.1.1.1.0.0,0.308295,0,L2.0.0.1.1.1.1.0.1,0.308438,0,0.308295,1e-07,"strict_child_lp_bound_improvement"
L1.1.1.1.1.1.1.1,0.308465,L1.1.1.1.1.1.1.1.0,0.309283,0,L1.1.1.1.1.1.1.1.1,0.308588,0,0.308588,1e-07,"strict_child_lp_bound_improvement"
L2.0.1,0.308483,L2.0.1.0,0.308483,0,L2.0.1.1,0.31572,0,0.308483,1e-07,"no_certified_one_level_lp_benefit"
L2.0.0.1.1.1.1.1,0.308549,L2.0.0.1.1.1.1.1.0,0.308581,0,L2.0.0.1.1.1.1.1.1,0.308725,0,0.308581,1e-07,"strict_child_lp_bound_improvement"
L2.1,0.32305,L2.1.0,0.32305,0,L2.1.1,0.338072,0,0.32305,1e-07,"no_certified_one_level_lp_benefit"
L3.0,0.354035,L3.0.0,0.354035,0,L3.0.1,0,1,0.354035,1e-07,"child_lp_infeasible"
L3.0.0,0.354035,L3.0.0.0,0.354035,0,L3.0.0.1,0,1,0.354035,1e-07,"child_lp_infeasible"
L3.0.0.0,0.354035,L3.0.0.0.0,0.354035,0,L3.0.0.0.1,0,1,0.354035,1e-07,"child_lp_infeasible"
L3.0.0.0.0,0.354035,L3.0.0.0.0.0,0.354035,0,L3.0.0.0.0.1,0.356029,0,0.354035,1e-07,"no_certified_one_level_lp_benefit"
