leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.298,0.490128,0,0,0,0.298,0.490128,0,0,0,0
L1,0,30,0.401,0.801655,1,638,0,0.401,0.801655,1,638,0,0
L2,0,30,30.011,53.6603,630,77789,0,30.011,53.6603,630,77789,0,0
L3,0,30,0.443,0.943456,1,1005,0,0.443,0.943456,1,1005,0,0
L2,1,60,60.001,104.73,715,110566,0,60.001,104.73,715,110566,0,0
L2.0,0,7.01004,7.013,9.05705,1,7920,0,7.013,9.05705,1,7920,0,0
