scenario_id,common_run_cap_seconds,common_checkpoint_seconds,K1_certificate,PGRB_certificate,K1_valid_LB,PGRB_valid_LB,K1_verified_UB,PGRB_verified_UB,K1_relative_gap,PGRB_relative_gap,K1_scaled_gap,PGRB_scaled_gap,K1_work,PGRB_work,K1_relative_gap_integral,PGRB_relative_gap_integral,K1_gap_integral_coverage_seconds,PGRB_gap_integral_coverage_seconds,pair_classification_at_common_horizon,unequal_horizon_comparison
cb443_V08_compact_r2_shortage_M01_Q30_T01800,3600,3600,True,True,0.6158836280552407,0.6158836280552391,0.6158836280552391,0.6158836280552391,0.0,0.0,0.0,0.0,1.7945664445159282,2.5212446235721315,0.27588552684558065,0.01671759695546429,1.6529065000000003,0.3326798000000002,both_certified_pgrb_faster,False
cb443_V08_compact_r2_balanced_M02_Q20_T03600,3600,3600,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.066374492751732,0.0,0.0,0.0028495000000001713,0.03059379999999999,both_certified_pgrb_faster,False
cb443_V08_compact_r1_surplus_M01_Q20_T10800,3600,3600,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02289566272346699,0.0,0.0,0.002400899999999595,0.0272423,both_certified_pgrb_faster,False
cb443_V08_regional_r2_shortage_M02_Q20_T18000,3600,3600,True,True,0.0933146979521674,0.09331469795216739,0.09331469795216743,0.09331469795216743,2.974405557188457e-16,4.461608335782685e-16,2.7755575615628914e-17,4.163336342344337e-17,0.40993923165813806,0.46763277213107685,0.08981270451183038,0.0005192570035832449,0.5497049999999994,0.05707899999999999,both_certified_pgrb_faster,False
cb443_V08_regional_r1_balanced_M01_Q30_T01800,3600,3600,True,True,0.32901978737802284,0.3290197873780229,0.32901978737802284,0.32901978737802284,0.0,0.0,0.0,0.0,0.5766814285470513,0.6835033418122858,0.15279272345380984,0.016573616645515675,0.619835,0.239022,both_certified_pgrb_faster,False
cb443_V08_regional_r2_surplus_M02_Q30_T03600,3600,3600,True,True,0.05598353715588168,0.05598353715588169,0.05598353715588168,0.05598353715588168,0.0,0.0,0.0,0.0,1.558120363057519,2.0760268883951065,1.0397038230738604,0.08871785854164005,1.4833179,0.34825970000000006,both_certified_pgrb_faster,False
cb443_V12_compact_r2_shortage_M02_Q30_T03600,3600,3600,True,True,0.26181696280070443,0.2618169629616905,0.26181696296169044,0.26181696296169044,6.148799546276333e-10,0.0,1.6098600230662896e-10,0.0,677.2014595196605,1839.011091279654,68.5581507596023,126.5130124730667,370.58158560000004,963.6095816000001,both_certified_k1_faster,False
cb443_V12_compact_r1_balanced_M01_Q20_T10800,3600,3600,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08384281195982445,0.0,0.0,0.0020905000000013274,0.026873099999999997,both_certified_pgrb_faster,False
cb443_V12_compact_r1_surplus_M02_Q20_T18000,3600,3600,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07079204405313029,0.0,0.0,0.0020098999999991207,0.03399822670288086,both_certified_pgrb_faster,False
cb443_V12_regional_r1_shortage_M01_Q20_T01800,3600,3600,True,True,0.7089839241207809,0.7089839241207546,0.7089839241207561,0.7089839241207561,0.0,2.035716019658125e-15,0.0,1.4432899320127035e-15,2.336684899427285,4.877942826471059,0.2816429255600162,0.0667216558719326,1.9933739000000001,1.1209604,both_certified_k1_faster,False
cb443_V12_regional_r2_balanced_M02_Q30_T03600,3600,3600,True,True,0.0924622440292937,0.09246224402929369,0.09246224402929373,0.09246224402929373,3.001828033379272e-16,4.5027420500689075e-16,2.7755575615628914e-17,4.163336342344337e-17,30.758576263883747,82.88240065199452,1.0913145815354716e-18,33.89711923280887,0.003635500000001457,43.7657088,both_certified_k1_faster,False
cb443_V12_regional_r1_surplus_M01_Q30_T10800,3600,3600,True,True,0.058563973125784964,0.05856397312578512,0.05856397312578515,0.05856397312578515,3.1990680516688973e-15,5.924200095683143e-16,1.8735013540549517e-16,3.469446951953614e-17,2.9610532339153504,7.433061678966169,0.7122277354656524,0.03452780747884844,2.6299636999999976,0.7401715000000006,both_certified_pgrb_faster,False
cb443_V20_compact_r2_shortage_M02_Q20_T10800,3600,3600,True,True,0.22562183039811493,0.22562183056405632,0.2256218305640563,0.2256218305640563,7.354845554611723e-10,0.0,1.6594137175474089e-10,0.0,1057.8433874559194,1276.836086697072,20.272936988128563,13.387734139599944,533.2377507,525.4032985000001,both_certified_k1_faster,False
cb443_V20_compact_r1_balanced_M03_Q30_T18000,3600,3600,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.7850593797256726,0.0,0.0,0.0015542999999986762,0.08540539999999996,both_certified_pgrb_faster,False
cb443_V20_compact_r1_surplus_M02_Q30_T01800,3600,3600,True,True,0.8299634029496857,0.8299634131717751,0.8299634131717751,0.8299634131717751,1.2316313267467948e-08,0.0,1.0222089397160516e-08,0.0,1069.6367492655427,5194.25218894543,26.95303866452127,95.6143235952708,527.7419623999999,2589.7304558,both_certified_k1_faster,False
cb443_V20_regional_r2_shortage_M03_Q30_T03600,3600,3600,False,False,0.3950243117916486,0.3450285526859833,0.5150591127753121,0.5163267893142982,0.23305053343659055,0.3317632169653748,0.12003480098366354,0.1712982366283149,8119.289107900071,7419.802481433345,0.0009435283896260398,1141.6922947642524,0.004048599999805447,3205.8873989000003,neither_certified_k1_better_bound,False
cb443_V20_regional_r2_shortage_M03_Q30_T03600,10800,10800,False,False,0.4147593699564803,0.36150324116040733,0.5150591127753121,0.5163267893142982,0.19473443014799416,0.29985573353554346,0.10029974281883186,0.15482354815389088,24423.137525754795,21945.855133081306,0.0007245289211091143,3391.580887295968,0.003720600001543062,10404.3577607,neither_certified_k1_better_bound,False
cb443_V20_regional_r2_balanced_M02_Q20_T10800,3600,3600,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.649212373462048,0.0,0.0,0.0022120000000001028,0.06468909999999983,both_certified_pgrb_faster,False
cb443_V20_regional_r2_surplus_M03_Q20_T18000,3600,3600,True,True,0.022540584415584423,0.02254058441094787,0.022540584415584423,0.022540584415584423,0.0,2.0569808410101897e-10,0.0,4.636555028803002e-12,2.50451484009395,16.267932537444086,0.4703798238465037,1.5430318359987598e-11,3.6736192999999986,0.07501440000000059,both_certified_pgrb_faster,False
cb443_V30_compact_r2_shortage_M05_Q20_T18000,3600,3600,False,False,0.3345221144007615,0.3348929046964524,0.3478644013605063,0.3478644013605063,0.03835485007250742,0.03728894538596663,0.013342286959744765,0.012971496664053894,7292.109643075196,7574.550933076178,148.30356566632497,83.638618654807,3414.7989824,2051.5067633,neither_certified_pgrb_better_bound,False
