scenario_id,method,time_ratio_to_best,work_ratio_to_best,shifted_work_ratio_to_best,profile_scope
cb443_V08_compact_r2_shortage_M01_Q30_T01800,k1_am_sf,1.2080018002628294,1.0,1.0,both_certified_only
cb443_V08_compact_r2_shortage_M01_Q30_T01800,pgrb,1.0,1.4049324455368493,1.2600325286529652,both_certified_only
cb443_V08_compact_r2_balanced_M02_Q20_T03600,k1_am_sf,17.856643969527408,1.0,1.0,both_certified_only
cb443_V08_compact_r2_balanced_M02_Q20_T03600,pgrb,1.0,,1.066374492751732,both_certified_only
cb443_V08_compact_r1_surplus_M01_Q20_T10800,k1_am_sf,75.05631683872737,1.0,1.0,both_certified_only
cb443_V08_compact_r1_surplus_M01_Q20_T10800,pgrb,1.0,,1.0228956627234669,both_certified_only
cb443_V08_regional_r2_shortage_M02_Q20_T18000,k1_am_sf,17.202142338446777,1.0,1.0,both_certified_only
cb443_V08_regional_r2_shortage_M02_Q20_T18000,pgrb,1.0,1.1407368117454328,1.0409191681297423,both_certified_only
cb443_V08_regional_r1_balanced_M01_Q30_T01800,k1_am_sf,1.6017495855866897,1.0,1.0,both_certified_only
cb443_V08_regional_r1_balanced_M01_Q30_T01800,pgrb,1.0,1.1852355702426074,1.067751107694389,both_certified_only
cb443_V08_regional_r2_surplus_M02_Q30_T03600,k1_am_sf,1.9131350713832715,1.0,1.0,both_certified_only
cb443_V08_regional_r2_surplus_M02_Q30_T03600,pgrb,1.0,1.3323918598440578,1.202455886289328,both_certified_only
cb443_V12_compact_r2_shortage_M02_Q30_T03600,k1_am_sf,1.0,1.0,1.0,both_certified_only
cb443_V12_compact_r2_shortage_M02_Q30_T03600,pgrb,2.686701829334552,2.715604146193167,2.713074508248406,both_certified_only
cb443_V12_compact_r1_balanced_M01_Q20_T10800,k1_am_sf,144.6511616503913,1.0,1.0,both_certified_only
cb443_V12_compact_r1_balanced_M01_Q20_T10800,pgrb,1.0,,1.0838428119598245,both_certified_only
cb443_V12_compact_r1_surplus_M02_Q20_T18000,k1_am_sf,108.12790609460885,1.0,1.0,both_certified_only
cb443_V12_compact_r1_surplus_M02_Q20_T18000,pgrb,1.0,,1.0707920440531302,both_certified_only
cb443_V12_regional_r1_shortage_M01_Q20_T01800,k1_am_sf,1.0,1.0,1.0,both_certified_only
cb443_V12_regional_r1_shortage_M01_Q20_T01800,pgrb,1.3968703945538956,2.087548401441131,1.7616116006279046,both_certified_only
cb443_V12_regional_r2_balanced_M02_Q30_T03600,k1_am_sf,1.0,1.0,1.0,both_certified_only
cb443_V12_regional_r2_balanced_M02_Q30_T03600,pgrb,2.349090007543389,2.694611088007795,2.641251923732697,both_certified_only
cb443_V12_regional_r1_surplus_M01_Q30_T10800,k1_am_sf,7.8532493973040465,1.0,1.0,both_certified_only
cb443_V12_regional_r1_surplus_M01_Q30_T10800,pgrb,1.0,2.510276273938364,2.1289947852153475,both_certified_only
cb443_V20_compact_r2_shortage_M02_Q20_T10800,k1_am_sf,1.0,1.0,1.0,both_certified_only
cb443_V20_compact_r2_shortage_M02_Q20_T10800,pgrb,1.1598389413371901,1.207018072654236,1.2068225592524366,both_certified_only
cb443_V20_compact_r1_balanced_M03_Q30_T18000,k1_am_sf,7.864768295657776,1.0,1.0,both_certified_only
cb443_V20_compact_r1_balanced_M03_Q30_T18000,pgrb,1.0,,4.785059379725673,both_certified_only
cb443_V20_compact_r1_surplus_M02_Q30_T01800,k1_am_sf,1.0,1.0,1.0,both_certified_only
cb443_V20_compact_r1_surplus_M02_Q30_T01800,pgrb,5.075747641547182,4.8560898758499285,4.852488196869177,both_certified_only
cb443_V20_regional_r2_balanced_M02_Q20_T10800,k1_am_sf,8.179750820906287,1.0,1.0,both_certified_only
cb443_V20_regional_r2_balanced_M02_Q20_T10800,pgrb,1.0,,8.64921237346205,both_certified_only
cb443_V20_regional_r2_surplus_M03_Q20_T18000,k1_am_sf,3.093124883323961,1.0,1.0,both_certified_only
cb443_V20_regional_r2_surplus_M03_Q20_T18000,pgrb,1.0,6.495442660996107,4.927338968546403,both_certified_only
cb443_V30_regional_r2_balanced_M05_Q20_T18000,k1_am_sf,3.2202625336571726,1.0,1.0,both_certified_only
cb443_V30_regional_r2_balanced_M05_Q20_T18000,pgrb,1.0,,21.86411259893232,both_certified_only
cb443_V08_compact_r1_shortage_M01_Q30_T03600,k1_am_sf,2.0050277809144106,1.0,1.0,both_certified_only
cb443_V08_compact_r1_shortage_M01_Q30_T03600,pgrb,1.0,1.2021766465276575,1.164444359511097,both_certified_only
cb443_V08_compact_r1_shortage_M01_Q30_T18000,k1_am_sf,15.143110252270915,1.2057558873922445,1.0605549658598,both_certified_only
cb443_V08_compact_r1_shortage_M01_Q30_T18000,pgrb,1.0,1.0,1.0,both_certified_only
cb443_V08_regional_r2_balanced_M01_Q30_T03600,k1_am_sf,2.715983997778345,1.0,1.0,both_certified_only
cb443_V08_regional_r2_balanced_M01_Q30_T03600,pgrb,1.0,1.1005997034070445,1.04853239663332,both_certified_only
cb443_V08_regional_r2_balanced_M01_Q30_T18000,k1_am_sf,56.434233674257406,1.0,1.0,both_certified_only
cb443_V08_regional_r2_balanced_M01_Q30_T18000,pgrb,1.0,,1.0289567467155458,both_certified_only
cb443_V12_compact_r2_surplus_M01_Q30_T03600,k1_am_sf,1.0,1.0,1.0,both_certified_only
cb443_V12_compact_r2_surplus_M01_Q30_T03600,pgrb,1.4467596707309074,1.784806782106804,1.7637877778659696,both_certified_only
cb443_V12_compact_r2_surplus_M01_Q30_T18000,k1_am_sf,309.0489360136206,1.0,1.0,both_certified_only
cb443_V12_compact_r2_surplus_M01_Q30_T18000,pgrb,1.0,,1.0711354579112615,both_certified_only
cb443_V12_regional_r2_shortage_M01_Q30_T03600,k1_am_sf,1.8775482053612846,1.423569703254279,1.3625298694203258,both_certified_only
cb443_V12_regional_r2_shortage_M01_Q30_T03600,pgrb,1.0,1.0,1.0,both_certified_only
cb443_V12_regional_r2_shortage_M01_Q30_T18000,k1_am_sf,29.788855429870644,1.7633005683813419,1.4760644168284507,both_certified_only
cb443_V12_regional_r2_shortage_M01_Q30_T18000,pgrb,1.0,1.0,1.0,both_certified_only
cb443_V20_compact_r2_balanced_M02_Q30_T18000,k1_am_sf,27.136926872572385,1.0,1.0,both_certified_only
cb443_V20_compact_r2_balanced_M02_Q30_T18000,pgrb,1.0,,2.319531310806065,both_certified_only
cb443_V20_regional_r1_surplus_M02_Q30_T03600,k1_am_sf,1.0,1.0,1.0,both_certified_only
cb443_V20_regional_r1_surplus_M02_Q30_T03600,pgrb,8.763125104042967,8.824515715022782,8.821082957717415,both_certified_only
cb443_V20_regional_r1_surplus_M02_Q30_T18000,k1_am_sf,152.13903761142677,1.0,1.0,both_certified_only
cb443_V20_regional_r1_surplus_M02_Q30_T18000,pgrb,1.0,,1.4533911446251662,both_certified_only
