panel_class,scenario_id,scenario_sha256,dataset_family,landscape_id,selection_id,V,geographic_regime,inventory_regime,replicate,M,Q,complete_Q_vector,T_seconds,pickup_seconds,drop_seconds,lambda,instance_path,instance_file_sha256,landscape_path,landscape_file_sha256,selection_status,method_first,method_second,replicate_selection_rule,fractional_factor_assignment_rule,primary_position_within_V,corresponding_primary_cell_replicate,uses_other_replicate_for_corresponding_cell,matched_landscape_ordinal,inventory_rotation_rule
matched_route_horizon,cb443_V08_compact_r1_shortage_M01_Q30_T03600,c94debdd2e3e550e0abc9e5a62a28f802e0aaff52243bb7c5fd4d6dcabe04b6d,citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,shortage,1,1,30,[30],3600,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,selected_round58_before_performance,k1_am_sf,pgrb,,,,2,True,1,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V08_compact_r1_shortage_M01_Q30_T18000,4b3f88c5a5030803036d0b036a79ceb85c69cf57869b07bee69e6a3a64825c98,citibike443-regional-v1,cb443_V08_compact_r1_shortage,cb443_V08_compact_r1,8,compact,shortage,1,1,30,[30],18000,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_compact_r1_shortage.json,b20a6aea36729b871b0ebc243e644fe546ff434e4799a0fac36d6b4f38ef32c5,selected_round58_before_performance,k1_am_sf,pgrb,,,,2,True,1,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V08_regional_r2_balanced_M01_Q30_T03600,1e53c3a49bce784df83c55ec653c42fb79b32c067fa751458f5d650f218cb16b,citibike443-regional-v1,cb443_V08_regional_r2_balanced,cb443_V08_regional_r2,8,regional,balanced,2,1,30,[30],3600,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V08/cb443_V08_regional_r2_balanced_M01_Q30.txt,0c0c5cf705df5582467b09c6af1a0de64a47d8045aa4b53ed9b7853f88d0179f,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r2_balanced.json,6ad78dbfbb4282227d14e1ac1165194b98e69a5ce3bc28af89bb9e339f706aeb,selected_round58_before_performance,pgrb,k1_am_sf,,,,1,True,2,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V08_regional_r2_balanced_M01_Q30_T18000,40122029943fc75698c565cf2f37b4183b671139247f6de519cfd2783fa33f98,citibike443-regional-v1,cb443_V08_regional_r2_balanced,cb443_V08_regional_r2,8,regional,balanced,2,1,30,[30],18000,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V08/cb443_V08_regional_r2_balanced_M01_Q30.txt,0c0c5cf705df5582467b09c6af1a0de64a47d8045aa4b53ed9b7853f88d0179f,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r2_balanced.json,6ad78dbfbb4282227d14e1ac1165194b98e69a5ce3bc28af89bb9e339f706aeb,selected_round58_before_performance,k1_am_sf,pgrb,,,,1,True,2,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V12_compact_r2_surplus_M01_Q30_T03600,4650a9d5e93fd264443703b1393c4a958e2e9eca4cd0e28f0fe5c6517832fdb1,citibike443-regional-v1,cb443_V12_compact_r2_surplus,cb443_V12_compact_r2,12,compact,surplus,2,1,30,[30],3600,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V12/cb443_V12_compact_r2_surplus_M01_Q30.txt,c05d01c9807c49abbf6ccba401ecbbccfc446a808911de37c30583e06493761d,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r2_surplus.json,ea3fdd0a7cf87a9729404092b5a525725f2a90f353f9a531dbf4312fc46c2fa8,selected_round58_before_performance,k1_am_sf,pgrb,,,,1,True,3,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V12_compact_r2_surplus_M01_Q30_T18000,88782e08ddd491ad959bc0eca7fec29cad3bc245d6d9e71338c8a7a9d8b4f3b0,citibike443-regional-v1,cb443_V12_compact_r2_surplus,cb443_V12_compact_r2,12,compact,surplus,2,1,30,[30],18000,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V12/cb443_V12_compact_r2_surplus_M01_Q30.txt,c05d01c9807c49abbf6ccba401ecbbccfc446a808911de37c30583e06493761d,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r2_surplus.json,ea3fdd0a7cf87a9729404092b5a525725f2a90f353f9a531dbf4312fc46c2fa8,selected_round58_before_performance,k1_am_sf,pgrb,,,,1,True,3,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V12_regional_r2_shortage_M01_Q30_T03600,0361db092500ec9ae467331a9706fddf22796c891fe54bab8cae08b43c89caec,citibike443-regional-v1,cb443_V12_regional_r2_shortage,cb443_V12_regional_r2,12,regional,shortage,2,1,30,[30],3600,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V12/cb443_V12_regional_r2_shortage_M01_Q30.txt,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r2_shortage.json,d50143bac363e790a41c204f650a1889d597dfb38baf96cc1f2253242ea866f3,selected_round58_before_performance,k1_am_sf,pgrb,,,,1,True,4,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V12_regional_r2_shortage_M01_Q30_T18000,caeda0a4e9154eb9404364285322547d4dab837528bdc6808af852a7168f107b,citibike443-regional-v1,cb443_V12_regional_r2_shortage,cb443_V12_regional_r2,12,regional,shortage,2,1,30,[30],18000,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V12/cb443_V12_regional_r2_shortage_M01_Q30.txt,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r2_shortage.json,d50143bac363e790a41c204f650a1889d597dfb38baf96cc1f2253242ea866f3,selected_round58_before_performance,k1_am_sf,pgrb,,,,1,True,4,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V20_compact_r2_balanced_M02_Q30_T03600,53b18cd640afaa46d592b1b0742551f57f3b75891dcdf4fc0414ea31dc9b5c01,citibike443-regional-v1,cb443_V20_compact_r2_balanced,cb443_V20_compact_r2,20,compact,balanced,2,2,30,"[30,30]",3600,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V20/cb443_V20_compact_r2_balanced_M02_Q30.txt,1e2cfba7ed27964383b7c92c83cc6fd8f23a8fbcf84bafe63a6309235797a0fe,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r2_balanced.json,a7d6c9d38178f24aca811b078ccacb6a64a811f3d71c871f8f68bd127d327dce,selected_round58_before_performance,pgrb,k1_am_sf,,,,1,True,5,shortage_balanced_surplus_cycle
matched_route_horizon,cb443_V20_compact_r2_balanced_M02_Q30_T18000,56ee07d937a781fb5d9358084467d7d9977a1dffdc1b3d7462492fef31a38a6d,citibike443-regional-v1,cb443_V20_compact_r2_balanced,cb443_V20_compact_r2,20,compact,balanced,2,2,30,"[30,30]",18000,60.0,60.0,0.15,reference/citibike443-regional-v1/instances/V20/cb443_V20_compact_r2_balanced_M02_Q30.txt,1e2cfba7ed27964383b7c92c83cc6fd8f23a8fbcf84bafe63a6309235797a0fe,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r2_balanced.json,a7d6c9d38178f24aca811b078ccacb6a64a811f3d71c871f8f68bd127d327dce,selected_round58_before_performance,pgrb,k1_am_sf,,,,1,True,5,shortage_balanced_surplus_cycle
