scenario_id,method,certificate_at_10800,valid_lower_bound_at_10800,verified_upper_bound_at_10800,relative_gap_at_10800,authorized_next_cap_seconds,decision_reason,decision_frozen_from_10800_result,post_16200_authorized_next_cap_seconds,post_16200_decision_reason
cb443_V20_regional_r2_shortage_M03_Q30_T03600,k1_am_sf,False,0.4147593699564803,0.5150591127753121,0.19473443014799416,,relative_gap_above_ten_percent_stop,True,,
cb443_V20_regional_r2_shortage_M03_Q30_T03600,pgrb,False,0.36150324116040733,0.5163267893142982,0.29985573353554346,,relative_gap_above_ten_percent_stop,True,,
cb443_V30_compact_r2_shortage_M05_Q20_T18000,k1_am_sf,False,0.3362034568883778,0.3478644013605063,0.033521522830511574,21600,five_percent_tier_direct_21600,True,,
cb443_V30_compact_r2_shortage_M05_Q20_T18000,pgrb,False,0.33722431992859836,0.3478644013605063,0.03058686485393245,21600,five_percent_tier_direct_21600,True,,
cb443_V30_compact_r2_balanced_M03_Q30_T01800,k1_am_sf,False,0.7662402373904669,0.8142420757383567,0.05895278539169284,16200,ten_percent_tier_16200,True,21600,post_16200_five_percent_tier_21600
cb443_V30_compact_r2_balanced_M03_Q30_T01800,pgrb,False,0.6646592995387766,0.8219739047492574,0.19138637407043904,,relative_gap_above_ten_percent_stop,True,,
cb443_V30_compact_r2_surplus_M05_Q30_T03600,k1_am_sf,False,0.22670589358911886,0.3971975721575447,0.4292364569157082,,relative_gap_above_ten_percent_stop,True,,
cb443_V30_compact_r2_surplus_M05_Q30_T03600,pgrb,False,0.1345646031240268,0.4127474378010471,0.6739783441396194,,relative_gap_above_ten_percent_stop,True,,
cb443_V30_regional_r2_shortage_M03_Q30_T10800,k1_am_sf,False,0.24307417382816984,0.2547425630375072,0.04580463142949281,21600,five_percent_tier_direct_21600,True,,
cb443_V30_regional_r2_shortage_M03_Q30_T10800,pgrb,False,0.2424152382532493,0.2547425630375072,0.04839130390017662,21600,five_percent_tier_direct_21600,True,,
cb443_V30_regional_r2_surplus_M03_Q20_T01800,pgrb,False,1.132007379838281,1.2030399129495564,0.05904420322773924,16200,ten_percent_tier_16200,True,,post_16200_gap_above_five_percent_stop
cb443_V50_compact_r1_shortage_M04_Q30_T01800,k1_am_sf,False,1.5700172147720868,1.6832897879107886,0.06729237826559256,16200,ten_percent_tier_16200,True,,post_16200_gap_above_five_percent_stop
cb443_V50_compact_r1_shortage_M04_Q30_T01800,pgrb,False,1.3987494858284004,1.6854701601693949,0.170113171456075,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_compact_r2_balanced_M07_Q20_T03600,k1_am_sf,False,1.6441181572030696e-06,0.28946841025799674,0.9999943202156126,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_compact_r2_balanced_M07_Q20_T03600,pgrb,False,4.946367505542488e-07,0.36548228560903717,0.9999986466190838,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_compact_r2_surplus_M04_Q20_T10800,k1_am_sf,False,1.2493690249026906e-16,0.007777215274314213,0.9999999999999839,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_compact_r2_surplus_M04_Q20_T10800,pgrb,False,4.142219440326095e-18,0.06876635086614173,1.0,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_regional_r2_shortage_M07_Q20_T18000,k1_am_sf,False,0.30768532881694466,0.3266681003584966,0.05811027008979325,16200,ten_percent_tier_16200,True,,post_16200_gap_above_five_percent_stop
cb443_V50_regional_r2_shortage_M07_Q20_T18000,pgrb,False,0.3079406347872147,0.32904888131462506,0.06414927302921726,16200,ten_percent_tier_16200,True,,post_16200_gap_above_five_percent_stop
cb443_V50_regional_r1_balanced_M04_Q30_T01800,pgrb,False,0.5871910395079816,0.7476706864390772,0.21463947944169143,,relative_gap_above_ten_percent_stop,True,,
